N	2gram	Tiupa_Narr_1	FransuaR
1	и в	11	65
2	то есть	9	45
3	как бы	6	22
4	и не	23	22
5	и т.п	8	17
6	в сущности	2	16
7	в том	8	16
8	в этом	12	15
9	но в	7	14
10	в нем	4	13
11	прежде всего	4	11
12	и на	5	11
13	и его	10	10
14	не только	31	10
15	но и	27	10
16	так и	5	10
17	в его	6	9
18	по своему	2	8
19	в своем	3	8
20	и даже	2	8
21	в области	2	7
22	жизни и	6	7
23	точки зрения	5	7
24	только в	12	7
25	никогда не	4	6
26	том что	7	6
27	все же	4	6
28	как мы	2	6
29	времени и	9	6
30	еще не	4	6
31	при этом	19	6
32	может быть	15	6
33	в ней	4	6
34	в году	2	6
35	сказать что	2	6
36	в литературе	4	6
37	с его	4	5
38	в одном	4	5
39	в частности	14	5
40	жизни в	2	5
41	потому что	5	5
42	отличие от	2	5
43	на протяжении	7	5
44	или иной	4	5
45	для него	4	5
46	в своей	5	5
47	меньшей степени	2	5
48	той или	5	5
49	как в	4	5
50	как и	13	5
51	в той	2	5
52	между тем	3	5
53	и все	3	5
54	связи с	2	4
55	это уже	3	4
56	не в	6	4
57	в этой	6	4
58	большей или	2	4
59	в самом	6	4
60	из них	4	4
61	сих пор	2	4
62	до сих	2	4
63	в отличие	2	4
64	между ними	2	4
65	и еще	2	4
66	входит в	2	4
67	так сказать	2	4
68	в жизни	3	4
69	что в	3	3
70	не является	3	3
71	она была	2	3
72	это не	3	3
73	что он	3	3
74	самом деле	3	3
75	но для	3	3
76	о нем	3	3
77	к нему	4	3
78	то что	9	3
79	где они	2	3
80	как раз	6	3
81	не может	8	3
82	этом отношении	3	3
83	в форме	2	3
84	уже не	8	3
85	жизни как	2	3
86	с другой	2	3
87	друг друга	2	3
88	он и	2	3
89	в себе	6	3
90	но как	3	3
91	с ним	2	3
92	ничего не	2	3
93	и с	3	3
94	мира в	4	3
95	но не	4	2
96	начиная с	3	2
97	к тому	6	2
98	не подлежит	2	2
99	и от	2	2
100	из этих	4	2
101	всех его	2	2
102	но при	3	2
103	этих двух	2	2
104	можно сказать	5	2
105	же в	2	2
106	начало и	3	2
107	да и	2	2
108	в романе	2	2
109	а его	2	2
110	до конца	2	2
111	и он	6	2
112	при всей	3	2
113	хотя и	4	2
114	он не	3	2
115	не вполне	2	2
116	и для	2	2
117	в целом	3	2
118	к жизни	2	2
119	в эпизоде	4	2
120	только на	2	2
121	особенно в	2	2
122	и вот	2	2
123	того что	4	2
124	что не	2	2
125	что мы	2	2
126	роль в	2	2
127	в таком	2	2
128	или в	6	2
129	к себе	4	2
130	их в	3	2
131	в этих	2	2
132	еще раз	3	2
133	в наиболее	2	2
134	о том	4	2
135	жизни но	2	2
136	дело в	2	2
137	в особенности	2	2
138	в чем	2	2
139	это было	2	2
