N	2gram	Losev_Vesc_1	Komedia
1	и в	21	22
2	т е	55	13
3	том что	8	12
4	в том	8	11
5	но и	18	11
6	не только	36	10
7	из них	4	10
8	в то	3	10
9	как и	8	9
10	и т	19	9
11	может быть	16	9
12	в одном	2	8
13	таким образом	8	8
14	и не	29	8
15	и его	2	8
16	о том	6	8
17	в этой	3	7
18	что в	9	6
19	в отношении	4	6
20	в конце	2	6
21	к тому	3	6
22	то же	6	6
23	не в	5	6
24	а в	4	6
25	с другой	6	5
26	прежде всего	9	5
27	со своим	7	5
28	в его	2	5
29	один из	3	5
30	так и	3	5
31	все это	5	5
32	другой стороны	2	5
33	и даже	6	5
34	потому что	16	5
35	ясно что	8	4
36	как мы	4	4
37	в в	2	4
38	в другом	2	4
39	что они	6	4
40	в котором	3	4
41	в нем	2	4
42	что и	3	4
43	т д	19	4
44	тем что	2	4
45	и вот	2	4
46	в результате	3	4
47	точки зрения	5	4
48	из его	2	4
49	конце концов	2	4
50	так как	7	4
51	но в	5	4
52	мы можем	4	4
53	не менее	3	3
54	на то	4	3
55	у нас	7	3
56	и как	8	3
57	тот же	3	3
58	одной стороны	3	3
59	по имени	6	3
60	и у	3	3
61	и о	3	3
62	у него	2	3
63	да и	3	3
64	хотя и	4	3
65	все же	4	3
66	с одной	3	3
67	мы не	6	3
68	как раз	9	3
69	в этом	4	3
70	и с	8	3
71	и ее	18	3
72	и еще	2	3
73	только в	14	3
74	и все	5	3
75	его в	2	3
76	в чем	6	3
77	как это	2	3
78	ничего не	3	3
79	и здесь	4	2
80	ни было	4	2
81	еще и	8	2
82	независимо от	5	2
83	и без	3	2
84	то ни	4	2
85	и во	3	2
86	для ее	2	2
87	вовсе не	10	2
88	в свою	4	2
89	тем не	3	2
90	одна из	5	2
91	на этом	2	2
92	но не	5	2
93	того же	5	2
94	в себя	13	2
95	еще не	8	2
96	было бы	14	2
97	в действительности	7	2
98	мог бы	5	2
99	в самом	9	2
100	между прочим	3	2
101	относится к	5	2
102	всяком случае	2	2
103	для себя	5	2
104	только один	2	2
105	и тем	3	2
106	с ее	6	2
107	то что	27	2
108	бы то	4	2
109	в первой	2	2
110	со стороны	5	2
111	находится в	3	2
112	даже не	7	2
113	же когда	2	2
114	только что	2	2
115	в настоящем	2	2
116	то и	4	2
117	для этого	4	2
118	в сущности	4	2
119	не может	17	2
120	что у	5	2
121	в и	2	2
122	и притом	3	2
123	в силу	3	2
124	или в	2	2
125	нас в	3	2
126	но это	10	2
127	и формы	2	2
128	во всяком	3	2
129	чем же	3	2
130	к ней	2	2
131	но он	2	2
132	в себе	14	2
133	по своей	2	2
134	ту же	2	2
135	ли это	7	2
136	е в	7	2
