N	2gram	Bakhtin_KF_1	Psycholo
1	то что	7	37
2	и в	24	30
3	в том	6	27
4	что в	4	24
5	потому что	2	23
6	том что	4	21
7	для того	3	20
8	того чтобы	2	20
9	как бы	9	19
10	что он	2	17
11	и мы	2	16
12	не только	5	16
13	в этом	14	14
14	если бы	8	11
15	может быть	45	11
16	о том	3	10
17	никогда не	5	9
18	для этого	2	9
19	и когда	2	9
20	не может	27	9
21	и то	2	9
22	с тем	2	8
23	что это	3	8
24	тому что	2	8
25	мы имеем	5	8
26	не в	12	8
27	а не	17	8
28	при этом	4	8
29	того что	3	8
30	самом деле	3	8
31	могут быть	3	8
32	и это	12	8
33	по себе	2	7
34	в нем	28	7
35	и как	2	7
36	но не	12	7
37	все же	5	7
38	то же	5	7
39	точки зрения	12	7
40	в основе	5	7
41	ясно что	3	6
42	в своем	16	6
43	именно в	5	6
44	как и	5	6
45	совершенно не	6	6
46	и тем	3	6
47	и для	9	6
48	но и	9	6
49	и не	26	6
50	жизни и	8	6
51	и его	17	6
52	и здесь	7	6
53	тем что	3	6
54	дело с	2	5
55	и есть	9	5
56	в целом	10	5
57	и потому	2	5
58	в этой	2	5
59	еще не	4	5
60	было бы	8	5
61	был бы	3	5
62	один из	2	5
63	а с	2	5
64	сводится к	2	5
65	именно на	2	5
66	рядом с	3	5
67	в своих	3	5
68	в себе	21	5
69	но в	5	5
70	только в	16	5
71	от него	3	4
72	и все	7	4
73	прежде всего	2	4
74	содержание и	2	4
75	в своей	10	4
76	от того	3	4
77	в ней	3	4
78	в его	40	4
79	в него	2	4
80	не есть	20	4
81	и именно	2	4
82	а в	4	4
83	содержания и	2	4
84	там где	5	4
85	из которых	2	4
86	и совершенно	3	4
87	что эта	2	4
88	в виду	3	4
89	котором мы	3	3
90	хотя бы	4	3
91	это не	10	3
92	не как	4	3
93	к этому	2	3
94	вовсе не	7	3
95	вопрос о	2	3
96	для нас	4	3
97	это есть	2	3
98	в свою	3	3
99	для него	8	3
100	он не	6	3
101	в ее	16	3
102	что и	7	3
103	ни в	12	3
104	события в	3	3
105	так и	2	3
106	со стороны	7	3
107	как в	2	3
108	в их	8	3
109	это только	2	3
110	и только	6	3
111	времени и	4	3
112	и отсюда	2	3
113	мы не	3	3
114	и на	3	3
115	в каком	4	3
116	в данном	2	3
117	в другом	3	3
118	и ясно	2	2
119	мы получим	2	2
120	себя и	2	2
121	чем не	4	2
122	в одном	4	2
123	в каждом	3	2
124	этом смысле	3	2
125	а как	2	2
126	или иной	2	2
127	до конца	3	2
128	и того	2	2
129	но все	5	2
130	и под	2	2
131	должна быть	4	2
132	не дает	3	2
133	если я	2	2
134	нет в	4	2
135	и та	2	2
136	и эта	2	2
137	той или	3	2
138	в качестве	2	2
139	в котором	24	2
140	не имеем	3	2
141	его с	2	2
142	должен быть	7	2
143	себе и	3	2
144	во всех	11	2
145	быть и	3	2
146	все это	10	2
147	по отношению	26	2
148	что есть	2	2
149	оба эти	2	2
150	это и	2	2
151	в себя	7	2
152	места и	4	2
153	с точки	9	2
154	должно быть	6	2
155	ничего не	3	2
156	совсем не	2	2
157	во всем	7	2
158	в то	3	2
159	не знает	5	2
160	его на	2	2
161	все эти	10	2
162	дело в	2	2
163	и ни	3	2
164	едва ли	2	2
165	на самом	3	2
