N	2gram	Tiupa_Anal_2	Myshleni
1	то что	7	26
2	в этом	18	25
3	таким образом	2	19
4	в том	12	18
5	не может	4	18
6	точки зрения	4	18
7	что в	2	16
8	и в	16	16
9	того что	2	16
10	не только	16	16
11	так же	2	15
12	том что	12	15
13	в сущности	4	13
14	сказать что	2	13
15	отношению к	4	12
16	в ходе	4	12
17	по отношению	4	12
18	и не	12	12
19	в его	2	11
20	но не	4	10
21	было бы	3	10
22	как мы	3	10
23	а не	10	10
24	только в	4	10
25	может быть	6	9
26	с точки	2	9
27	о том	7	8
28	как это	6	8
29	если бы	3	8
30	как и	14	8
31	он не	2	8
32	то же	4	8
33	тем самым	4	8
34	того же	4	7
35	так и	15	7
36	по себе	2	7
37	представляет собой	8	7
38	приводит к	3	7
39	внутренней речи	4	7
40	что все	2	6
41	не в	4	6
42	в этой	9	6
43	но и	12	6
44	и на	6	6
45	речи в	2	6
46	но в	6	6
47	у него	4	6
48	состоит в	8	6
49	языка и	2	6
50	к тому	7	6
51	речи и	2	6
52	никогда не	3	5
53	в своем	4	5
54	что с	2	5
55	для него	4	5
56	как бы	10	5
57	еще более	2	5
58	этом отношении	3	5
59	не знает	3	5
60	в то	2	5
61	с ним	2	5
62	можно сказать	4	5
63	как в	4	5
64	можно было	3	5
65	тем что	3	5
66	ничего не	9	5
67	казалось бы	3	4
68	с другой	6	4
69	так что	3	4
70	в пределах	9	4
71	при этом	10	4
72	в самом	6	4
73	на этот	2	4
74	в целом	8	4
75	и их	2	4
76	именно в	3	4
77	не имеет	2	4
78	в результате	3	4
79	бы в	3	4
80	в состоянии	2	4
81	вообще не	2	4
82	в качестве	11	4
83	с их	2	4
84	еще не	2	4
85	за пределы	4	4
86	не есть	2	4
87	вместе с	2	4
88	той же	2	4
89	тому как	3	4
90	и то	3	4
91	могут быть	10	4
92	подобно тому	3	4
93	и т.д	3	4
94	не менее	4	3
95	в частности	16	3
96	прежде всего	3	3
97	как уже	3	3
98	одной стороны	4	3
99	в действительности	3	3
100	нас к	2	3
101	и является	4	3
102	и тем	4	3
103	в их	3	3
104	с одной	5	3
105	а в	3	3
106	к его	2	3
107	говорить о	6	3
108	в этих	2	3
109	между тем	2	3
110	между двумя	4	3
111	только не	4	3
112	в одном	2	3
113	к этому	2	3
114	этом случае	4	3
115	по существу	2	3
116	одной из	3	3
117	никак не	2	3
118	еще в	2	3
119	что и	3	3
120	говорит о	5	3
121	на этом	4	3
122	в себя	4	3
123	и его	4	3
124	он в	4	3
125	ответ на	3	3
126	столь же	4	2
127	может ли	2	2
128	в речевом	2	2
129	по поводу	3	2
130	на его	3	2
131	вслед за	2	2
132	имеет место	4	2
133	совпадает с	4	2
134	в котором	2	2
135	в своей	2	2
136	из них	3	2
137	в отличие	2	2
138	представляют собой	2	2
139	что она	2	2
140	все это	4	2
141	другой стороны	2	2
142	отношения к	2	2
143	те же	2	2
144	и даже	9	2
145	и другими	2	2
146	на основе	2	2
147	оказывается не	2	2
148	своего собственного	2	2
149	о чем	2	2
150	он произносит	2	2
151	в случае	2	2
152	вовсе не	2	2
153	его в	2	2
154	не с	4	2
155	и к	5	2
156	отличие от	2	2
157	все что	2	2
158	во второй	4	2
159	в первой	3	2
160	к предмету	2	2
161	во всех	4	2
162	только на	3	2
163	в центре	3	2
164	тому же	4	2
165	на протяжении	2	2
166	как будто	3	2
