N	2gram	Bakhtin_sl_2	Narrotol
1	не только	24	26
2	а не	14	17
3	но и	21	15
4	в том	5	14
5	при этом	7	14
6	и не	22	14
7	том что	5	13
8	и в	39	13
9	в этом	16	13
10	только в	5	11
11	может быть	37	10
12	в данном	2	10
13	так и	15	9
14	а в	4	9
15	то есть	26	9
16	то что	2	8
17	в себе	2	8
18	не может	20	8
19	не в	9	8
20	никогда не	7	6
21	в своем	6	6
22	прежде всего	8	6
23	и к	6	6
24	в его	7	6
25	и т.п	2	6
26	жизни в	2	6
27	героя в	3	6
28	все же	6	6
29	у него	3	6
30	как бы	7	6
31	а также	3	6
32	но в	6	6
33	точки зрения	8	5
34	не столько	3	5
35	что он	2	5
36	одной стороны	5	5
37	хотя и	2	5
38	он не	2	5
39	в нем	19	5
40	отношению к	4	5
41	на него	2	5
42	как в	13	5
43	в форме	2	5
44	по отношению	4	5
45	в отличие	12	5
46	таким образом	8	5
47	с одной	5	5
48	в той	4	5
49	с другой	5	5
50	на протяжении	2	5
51	отличие от	13	5
52	в то	4	5
53	далеко не	2	5
54	о том	2	5
55	перед нами	3	4
56	не менее	4	4
57	как и	6	4
58	все что	2	4
59	что в	3	4
60	для него	7	4
61	жизни и	6	4
62	то же	4	4
63	уже не	5	4
64	в другом	2	4
65	и все	5	4
66	как это	3	4
67	с ним	7	4
68	в себя	2	4
69	с его	7	3
70	человек в	6	3
71	точку зрения	3	3
72	или даже	3	3
73	это не	5	3
74	или иной	5	3
75	в слове	6	3
76	одна из	4	3
77	но не	6	3
78	же время	4	3
79	к его	2	3
80	к ней	2	3
81	той или	5	3
82	о нем	2	3
83	один из	5	3
84	как к	3	3
85	все эти	6	3
86	того чтобы	2	3
87	и даже	7	3
88	и для	5	3
89	и его	33	3
90	в таком	4	3
91	с ними	5	3
92	этом отношении	3	3
93	сказать что	3	3
94	между тем	3	3
95	действующих лиц	2	3
96	так сказать	6	3
97	мира и	5	3
98	в состав	3	3
99	дело с	4	2
100	однако в	2	2
101	в нашем	2	2
102	хотя бы	3	2
103	как уже	2	2
104	на фоне	4	2
105	вовсе не	10	2
106	и здесь	2	2
107	и внутренней	2	2
108	в свою	3	2
109	к своему	9	2
110	для нас	5	2
111	и т	35	2
112	и более	2	2
113	как о	2	2
114	должна быть	3	2
115	еще не	7	2
116	со всеми	2	2
117	со своим	9	2
118	в него	7	2
119	оно не	8	2
120	не все	2	2
121	с таким	2	2
122	что и	3	2
123	себя в	8	2
124	в процессе	13	2
125	подчеркнуть что	2	2
126	именно в	2	2
127	те же	2	2
128	они не	2	2
129	с точки	3	2
130	в чужой	2	2
131	той же	3	2
132	роль в	2	2
133	мы не	2	2
134	в чем	3	2
135	но это	3	2
136	в результате	2	2
137	в ней	3	2
138	в виде	2	2
139	но он	2	2
140	т п	33	2
141	говорить о	3	2
142	как он	2	2
143	зрения на	2	2
144	героя и	5	2
145	здесь не	4	2
146	в области	2	2
