N	2gram	Tiupa_Narr_1	OGranits
1	и в	19	13
2	и его	5	12
3	прежде всего	4	9
4	не может	10	8
5	и не	20	8
6	может быть	25	8
7	и т.п	8	7
8	точки зрения	10	7
9	в его	9	7
10	не только	32	6
11	то что	11	6
12	только в	4	6
13	как бы	4	6
14	все же	7	5
15	с точки	2	5
16	языка и	2	5
17	хотя бы	4	5
18	и т.д	7	5
19	то же	4	4
20	не является	8	4
21	в двух	2	4
22	было бы	4	4
23	но в	6	4
24	отношению к	6	3
25	что в	3	3
26	никогда не	3	3
27	но и	23	3
28	так и	9	3
29	по отношению	7	3
30	не как	2	3
31	и все	2	3
32	точку зрения	4	3
33	самом деле	2	3
34	в ее	3	3
35	да и	4	3
36	как и	7	3
37	не в	14	3
38	не столько	4	3
39	в пределах	2	3
40	в себе	8	3
41	говорить о	2	3
42	и для	2	3
43	не менее	3	2
44	и др	2	2
45	уже в	3	2
46	и тем	4	2
47	в нем	4	2
48	во всей	2	2
49	своего рода	12	2
50	данном случае	4	2
51	а не	12	2
52	в произведении	3	2
53	во времени	8	2
54	другой стороны	4	2
55	с другой	8	2
56	от всех	2	2
57	не на	2	2
58	в связи	2	2
59	а в	11	2
60	с одной	7	2
61	в полном	2	2
62	все эти	2	2
63	те же	4	2
64	роль в	2	2
65	или иного	2	2
66	к тому	7	2
67	как в	7	2
68	не имеет	2	2
69	в том	18	2
70	наконец в	2	2
71	что иное	2	2
72	так же	2	2
73	не мог	4	2
74	том что	14	2
75	описания и	2	2
76	в данном	5	2
77	что они	3	2
78	в этом	17	2
79	тем что	3	2
80	между тем	3	2
81	в структуре	2	2
82	могут быть	3	2
83	при этом	9	2
84	нуждается в	5	2
85	всей своей	2	2
86	и ее	2	2
87	не что	2	2
88	для него	2	2
89	одной стороны	7	2
90	несмотря на	2	2
91	того или	2	2
92	в области	2	2
93	героя и	4	2
94	мог бы	3	2
95	вслед за	4	2
96	имеет место	4	2
97	в ней	3	2
98	иное как	2	2
99	а также	7	2
