N	2gram	Tiupa_Lite_1	FransuaR
1	и в	8	65
2	то есть	6	45
3	и др	3	24
4	как бы	7	22
5	и не	12	22
6	и т.п	4	17
7	в сущности	2	16
8	в том	16	16
9	в этом	12	15
10	но в	3	14
11	в нем	2	13
12	нового времени	2	13
13	прежде всего	11	11
14	и его	4	10
15	не только	24	10
16	но и	17	10
17	так и	4	10
18	все эти	2	10
19	в его	7	9
20	в своем	11	8
21	в основе	3	8
22	и даже	3	8
23	за пределы	2	8
24	его в	3	7
25	в области	3	7
26	жизни и	3	7
27	точки зрения	6	7
28	только в	8	7
29	никогда не	4	6
30	том что	14	6
31	все же	4	6
32	еще не	4	6
33	при этом	19	6
34	может быть	13	6
35	искусства и	5	6
36	в году	13	6
37	одно из	3	6
38	с его	5	5
39	в частности	15	5
40	превращается в	2	5
41	потому что	3	5
42	отличие от	5	5
43	или иной	2	5
44	для него	2	5
45	века в	3	5
46	в своей	4	5
47	еще и	3	5
48	как в	5	5
49	как и	6	5
50	с их	3	5
51	в своих	4	5
52	между тем	2	5
53	xix века	6	5
54	связи с	6	4
55	это уже	2	4
56	не в	8	4
57	в этой	4	4
58	это как	2	4
59	в самом	3	4
60	из них	4	4
61	в их	3	4
62	в отличие	5	4
63	культуры в	4	4
64	в жизни	6	4
65	но одновременно	2	3
66	мир и	2	3
67	что в	3	3
68	перестает быть	4	3
69	не является	2	3
70	это не	4	3
71	что он	5	3
72	самом деле	2	3
73	по своей	3	3
74	даже в	2	3
75	с точки	2	3
76	то что	10	3
77	и прежде	3	3
78	как раз	4	3
79	не может	5	3
80	мир в	4	3
81	этом отношении	2	3
82	в себя	2	3
83	уже не	7	3
84	с другой	3	3
85	друг друга	4	3
86	он и	3	3
87	в себе	7	3
88	в искусстве	2	3
89	далеко не	3	3
90	нет ничего	2	3
91	в виду	3	3
92	мира в	3	3
93	с миром	4	3
94	но не	4	2
95	к тому	2	2
96	из этих	2	2
97	раз и	2	2
98	но при	2	2
99	во многих	2	2
100	же в	5	2
101	да и	3	2
102	и само	2	2
103	от своего	2	2
104	одной стороны	2	2
105	несмотря на	3	2
106	например в	3	2
107	при всей	3	2
108	для своего	2	2
109	в целом	8	2
110	не к	2	2
111	при всех	2	2
112	приводит к	3	2
113	только на	2	2
114	xviii века	2	2
115	с одной	2	2
116	того что	6	2
117	что не	2	2
118	одним из	5	2
119	роль в	2	2
120	к себе	3	2
121	могут быть	2	2
122	культуре и	2	2
123	о том	2	2
124	дело в	3	2
