N	3gram	Losev_Dial_2	KulturaY
1	и т п	2	41
2	с точки зрения	8	16
3	в самом деле	3	11
4	тем не менее	2	9
5	в том что	6	8
6	и т д	15	8
7	до сих пор	2	8
8	в зависимости от	2	7
9	в данном случае	2	4
10	в связи с	4	4
11	только тогда когда	4	4
12	с другой стороны	4	3
13	сам по себе	3	3
14	не только в	2	3
15	не может быть	3	3
16	о том что	4	3
17	ни в какой	2	2
18	сама по себе	7	2
19	то или иное	4	2
20	только то что	4	2
21	в той или	2	2
22	более или менее	2	2
23	в таком случае	3	2
24	не могут быть	2	2
25	от того что	2	2
26	не говоря уже	2	2
27	говоря уже о	2	2
28	принять во внимание	3	2
