N	2gram	Medvedev_S_1	Myslijsy
1	в том	5	32
2	и в	3	30
3	может быть	2	28
4	то же	2	23
5	не только	3	21
6	только в	2	21
7	для нас	3	20
8	но и	2	19
9	том что	2	18
10	то что	2	18
11	что в	2	17
12	не в	3	15
13	таким образом	2	14
14	и что	2	10
15	в этом	5	10
16	было бы	2	9
17	очевидно что	2	5
18	еще не	2	5
19	только как	2	5
20	отношению к	2	5
21	по отношению	2	5
22	в смысле	2	4
23	все это	7	4
24	в его	3	4
25	тем более	2	4
26	далеко не	2	4
27	как бы	2	3
28	это зависит	2	2
29	и мы	2	2
30	за пределы	2	2
31	это и	2	2
