N	2gram	Bakhtin_sl_1	PoTuStor
1	может быть	14	17
2	и в	41	16
3	прежде всего	8	9
4	таким образом	9	9
5	и проч	2	9
6	в этом	12	9
7	совершенно не	2	8
8	и его	14	8
9	и с	4	8
10	точки зрения	16	8
11	не может	14	8
12	с его	4	7
13	сказать что	2	7
14	не только	16	7
15	и к	5	6
16	с точки	8	6
17	для него	3	6
18	при этом	6	6
19	конечно не	3	6
20	отношение к	7	5
21	все эти	9	5
22	еще не	4	5
23	как бы	12	5
24	в него	3	5
25	в нем	30	4
26	но и	16	4
27	так и	11	4
28	все это	5	4
29	хотя бы	3	4
30	и все	4	4
31	так как	3	4
32	и не	16	4
33	на самом	2	4
34	как мы	8	4
35	и ее	3	4
36	можно сказать	2	4
37	и наконец	4	4
38	и даже	6	4
39	с ними	3	4
40	и на	14	4
41	с ее	4	4
42	и может	3	4
43	только в	6	4
44	его в	3	4
45	но в	8	4
46	в его	13	4
47	в этих	2	3
48	во всех	17	3
49	и др	14	3
50	могут быть	19	3
51	сих пор	2	3
52	в большинстве	10	3
53	в одном	2	3
54	те же	2	3
55	большинстве случаев	6	3
56	в том	3	3
57	а в	6	3
58	том что	2	3
59	с другими	5	3
60	в основе	5	3
61	на этом	2	3
62	только на	2	3
63	но оно	3	3
64	на язык	2	3
65	во всяком	7	3
66	в основном	3	3
67	и потому	4	3
68	до сих	2	3
69	между ними	2	3
70	всяком случае	5	3
71	поэтому и	3	2
72	один из	4	2
73	не могут	3	2
74	не есть	2	2
75	ни было	2	2
76	же как	2	2
77	связанных с	4	2
78	в частности	2	2
79	никогда не	3	2
80	между собой	2	2
81	в них	6	2
82	если мы	2	2
83	того же	6	2
84	вообще не	3	2
85	оно не	6	2
86	с этой	3	2
87	из этих	3	2
88	с этим	3	2
89	в свое	3	2
90	то же	14	2
91	к этому	2	2
92	и других	3	2
93	мы не	2	2
94	у него	3	2
95	и по	2	2
96	и для	4	2
97	войти в	2	2
98	для нас	2	2
99	как и	4	2
100	мы видим	2	2
101	так же	2	2
102	мы уже	2	2
103	по своему	2	2
104	не на	5	2
105	а на	2	2
106	он не	3	2
107	и этим	3	2
108	всех его	7	2
109	на протяжении	2	2
110	в пределах	14	2
111	и вообще	2	2
112	ту же	4	2
113	было бы	3	2
114	связанные с	3	2
115	о том	3	2
116	оно и	4	2
117	в самом	5	2
118	за пределы	4	2
119	в своей	7	2
120	и о	2	2
121	с ним	7	2
