N	2gram	Bakhtin_Pr_2	RusskieA
1	и в	43	29
2	т е	26	24
3	что в	4	22
4	том что	2	22
5	в том	6	22
6	как бы	22	18
7	может быть	23	13
8	так как	4	13
9	во время	4	12
10	как и	14	11
11	одна из	2	11
12	в этом	13	11
13	все это	5	10
14	и с	5	10
15	не только	11	10
16	о том	5	9
17	а в	5	9
18	но и	14	8
19	ее в	2	8
20	его в	3	8
21	как в	2	7
22	или в	8	7
23	мы не	4	6
24	еще не	9	6
25	для нас	2	6
26	таким образом	5	6
27	при этом	6	6
28	и на	10	6
29	это не	3	5
30	то что	7	5
31	и что	5	5
32	но не	5	5
33	для этого	2	5
34	и т	13	5
35	не может	18	5
36	т д	4	5
37	но в	10	5
38	в них	4	4
39	и все	6	4
40	а за	3	4
41	вопрос о	2	4
42	а затем	2	4
43	уже не	3	4
44	по существу	3	4
45	так что	5	4
46	не в	11	4
47	этих случаях	2	4
48	из них	2	4
49	к нему	5	4
50	том же	4	4
51	так же	2	4
52	то и	2	4
53	то же	8	4
54	у нас	2	4
55	а не	7	4
56	в таком	2	4
57	в которых	2	4
58	их в	4	4
59	в виде	3	4
60	далеко не	4	4
61	тем что	3	3
62	в этих	6	3
63	она не	3	3
64	до конца	4	3
65	того что	2	3
66	было бы	5	3
67	и о	2	3
68	в котором	6	3
69	во всех	4	3
70	в отличие	4	3
71	все эти	5	3
72	как мы	10	3
73	между тем	3	3
74	но он	4	3
75	что это	2	3
76	отличие от	4	3
77	в эту	3	3
78	а он	3	2
79	не менее	3	2
80	об этом	2	2
81	могут быть	3	2
82	никогда не	9	2
83	между собой	2	2
84	с другой	4	2
85	в стороне	2	2
86	из этих	2	2
87	он есть	2	2
88	в образе	2	2
89	прежде всего	10	2
90	не был	2	2
91	что и	3	2
92	кроме того	3	2
93	и как	2	2
94	и при	2	2
95	в глаза	2	2
96	то время	2	2
97	здесь в	3	2
98	и пр	2	2
99	совершенно не	4	2
100	что на	2	2
101	тем не	2	2
102	в него	7	2
103	в виду	3	2
104	все же	3	2
105	в своей	4	2
106	в руках	2	2
107	в самый	2	2
108	в форме	2	2
109	в их	3	2
110	того как	2	2
111	а с	2	2
112	там где	4	2
113	этот вопрос	4	2
114	здесь мы	2	2
115	мы здесь	2	2
116	и для	3	2
117	должно быть	4	2
118	можно было	3	2
119	каждый из	2	2
120	в своих	2	2
121	и то	2	2
122	с другим	2	2
123	с этим	2	2
124	на себя	2	2
125	и ее	3	2
126	и еще	2	2
127	во всем	3	2
128	в то	7	2
129	так чтобы	4	2
130	та же	2	2
131	есть в	3	2
