N	2gram	Bakhtin_fo_2	Komedia
1	и в	46	22
2	и не	9	21
3	том что	4	13
4	в том	10	12
5	таким образом	3	12
6	так как	6	11
7	потому что	8	10
8	до сих	2	9
9	вместе с	9	9
10	сих пор	2	9
11	в своем	5	8
12	что он	3	8
13	в его	8	8
14	что и	3	8
15	в этом	22	8
16	о том	4	8
17	его в	6	8
18	о чем	3	7
19	при этом	6	7
20	то же	8	7
21	а в	3	7
22	в конце	2	7
23	во время	10	6
24	к этому	3	6
25	того же	3	6
26	еще не	6	6
27	для того	8	6
28	к тому	3	6
29	может быть	7	6
30	того чтобы	8	6
31	так что	4	6
32	и его	12	6
33	в то	5	6
34	связи с	8	5
35	что в	5	5
36	же время	4	5
37	прежде всего	14	5
38	как это	2	5
39	хотя и	3	5
40	не только	11	5
41	отношение к	3	5
42	из них	8	5
43	все это	6	5
44	он не	5	5
45	тем что	3	5
46	в которых	3	5
47	к себе	4	5
48	с ним	4	5
49	но в	10	5
50	с тем	2	4
51	у него	9	4
52	отнюдь не	4	4
53	с другой	2	4
54	вовсе не	13	4
55	нет и	3	4
56	он был	2	4
57	все же	6	4
58	не в	9	4
59	до конца	2	4
60	тем более	3	4
61	и т	14	4
62	то что	7	4
63	но и	9	4
64	т п	11	4
65	в отношении	2	4
66	с помощью	3	4
67	а не	4	4
68	и для	9	4
69	так же	2	4
70	точки зрения	10	4
71	в себе	4	4
72	в связи	8	4
73	так и	7	4
74	не является	3	4
75	и с	6	4
76	прежде чем	3	3
77	в частности	5	3
78	никогда не	6	3
79	в них	7	3
80	с этой	4	3
81	с этим	5	3
82	если не	2	3
83	по всему	3	3
84	в нем	5	3
85	далеко не	2	3
86	и к	2	3
87	как и	8	3
88	в этой	2	3
89	по своему	2	3
90	все что	2	3
91	было бы	2	3
92	конечно не	4	3
93	к ним	2	3
94	как бы	10	3
95	один из	2	3
96	при виде	3	3
97	не может	2	3
98	не могла	2	3
99	с одной	2	3
100	в двух	2	3
101	с точки	8	3
102	тем же	2	3
103	и даже	3	3
104	их в	4	3
105	он так	2	3
106	во всяком	2	3
107	говорить о	2	3
108	не знает	2	3
109	же самое	3	3
110	как он	2	3
111	том как	3	3
112	в основе	6	2
113	только для	2	2
114	уже в	4	2
115	чувствует себя	3	2
116	до того	2	2
117	себя и	3	2
118	в качестве	3	2
119	как в	4	2
120	это не	2	2
121	равно как	2	2
122	и все	6	2
123	в одном	7	2
124	человека и	4	2
125	представление о	2	2
126	в образе	4	2
127	чем они	2	2
128	о его	2	2
129	этом случае	2	2
130	без всякого	2	2
131	а затем	3	2
132	по существу	5	2
133	что они	4	2
134	она не	2	2
135	а на	2	2
136	в пределах	5	2
137	тот же	3	2
138	не мог	2	2
139	действующим лицом	2	2
140	в сущности	2	2
141	и о	2	2
142	а также	3	2
143	и он	4	2
144	между ними	2	2
145	в котором	4	2
146	только один	2	2
147	после этого	2	2
148	во всех	11	2
149	наряду с	2	2
150	в их	3	2
151	как мы	6	2
152	целый ряд	3	2
153	вплоть до	2	2
154	отношения к	4	2
155	не было	3	2
156	этом отношении	2	2
157	человека в	6	2
158	в мире	4	2
159	в эпоху	4	2
160	роль в	3	2
161	и на	7	2
162	людей и	2	2
163	и во	6	2
164	в другом	3	2
165	и это	2	2
166	здесь не	2	2
167	в виду	3	2
