N	2gram	Tiupa_Teor_1	Literetu
1	не только	16	24
2	при этом	12	19
3	в качестве	24	17
4	но и	9	17
5	а не	9	16
6	в том	16	16
7	в частности	16	15
8	том что	9	14
9	может быть	17	13
10	тогда как	15	13
11	и не	13	12
12	в этом	8	12
13	состоит в	17	11
14	прежде всего	2	11
15	в своем	4	11
16	своего рода	7	11
17	такого рода	8	10
18	то что	3	10
19	в русской	6	10
20	или иначе	5	9
21	так или	4	8
22	произведение искусства	5	8
23	не в	7	8
24	в целом	3	8
25	и в	18	8
26	в тексте	14	8
27	только в	6	8
28	как это	8	8
29	не менее	4	7
30	я не	2	7
31	в его	6	7
32	как бы	5	7
33	уже не	4	7
34	в себе	9	7
35	я и	2	7
36	в рамках	7	6
37	в жизни	2	6
38	как и	4	6
39	на смену	4	6
40	себя в	6	6
41	того что	4	6
42	точки зрения	9	6
43	то есть	12	6
44	эстетического объекта	2	6
45	русской поэзии	2	5
46	с его	5	5
47	казалось бы	2	5
48	же время	5	5
49	я в	16	5
50	в конечном	6	5
51	а также	6	5
52	русской литературе	2	5
53	как в	5	5
54	не может	4	5
55	то же	7	5
56	в отличие	6	5
57	тем самым	4	5
58	одним из	2	5
59	в данном	8	5
60	в то	6	5
61	отличие от	6	5
62	в стихотворении	4	4
63	конечном счете	6	4
64	столь же	2	4
65	это не	2	4
66	о себе	2	4
67	в конце	2	4
68	представляет собой	9	4
69	но не	9	4
70	еще не	4	4
71	в формах	2	4
72	и тем	3	4
73	литературного произведения	7	4
74	в художественном	3	4
75	по преимуществу	4	4
76	в своей	6	4
77	деятельности в	2	4
78	данном случае	5	4
79	со стороны	2	4
80	так и	10	4
81	и т.п	4	4
82	никогда не	4	4
83	лирический герой	2	4
84	всего лишь	6	4
85	лишь в	6	4
86	и его	8	4
87	как раз	2	4
88	в этой	3	4
89	в основе	3	3
90	этого текста	2	3
91	в душе	8	3
92	что в	9	3
93	с другой	7	3
94	человеческого я	3	3
95	сводится к	5	3
96	не сводится	4	3
97	субъекта и	2	3
98	в культуре	2	3
99	с их	2	3
100	в пределах	5	3
101	в самом	4	3
102	пен пан	2	3
103	один из	2	3
104	в их	2	3
105	приводит к	5	3
106	по отношению	4	3
107	а в	13	3
108	таким образом	3	3
109	говоря словами	3	3
110	в принципе	4	3
111	и даже	2	3
112	эстетический объект	3	3
113	потому что	3	3
114	но в	9	3
115	по своей	3	3
116	произведения искусства	2	3
117	далеко не	2	3
118	его в	2	3
119	дело в	2	3
120	в области	4	3
121	в виду	5	3
122	в лирике	2	3
123	во мне	2	2
124	искусства это	2	2
125	я есть	5	2
126	обращается к	2	2
127	искусства как	2	2
128	отнюдь не	3	2
129	однако в	7	2
130	в равной	3	2
131	своем составе	3	2
132	превращается в	2	2
133	дело не	2	2
134	из этих	3	2
135	в себя	3	2
136	для понимания	2	2
137	в мире	19	2
138	к тому	2	2
139	а только	3	2
140	тем не	3	2
141	и того	3	2
142	в другом	3	2
143	или иной	4	2
144	особого рода	2	2
145	того же	3	2
146	внутреннего я	4	2
147	для него	2	2
148	от своего	2	2
149	одной стороны	2	2
150	о своем	2	2
151	мы в	2	2
152	за пределы	2	2
153	виду не	3	2
154	в искусстве	6	2
155	несет в	2	2
156	и является	2	2
157	на почве	4	2
158	даже в	3	2
159	не является	4	2
160	художественности состоит	2	2
161	не могло	2	2
162	в нем	4	2
163	отношению к	4	2
164	могло быть	2	2
165	не на	2	2
166	мышления и	2	2
167	с одной	2	2
168	все эти	2	2
169	художественного целого	4	2
170	от себя	3	2
171	своей внутренней	2	2
172	для читателя	2	2
173	во втором	3	2
174	с точки	3	2
175	войне и	2	2
176	роль в	2	2
177	в слове	3	2
178	художественного впечатления	5	2
179	самим собой	3	2
180	и то	2	2
181	не случайно	5	2
182	между тем	5	2
183	нового времени	3	2
184	могут быть	4	2
185	самим собою	2	2
186	на себя	2	2
187	как эстетической	4	2
188	факторов художественного	3	2
189	как будто	2	2
190	как правило	4	2
191	текста как	4	2
