N	2gram	Nazirov_Tv_1	Otkroven
1	у него	7	22
2	у достоевского	28	19
3	и в	21	19
4	но и	3	13
5	и не	7	13
6	в этом	6	12
7	из подполья	13	11
8	а не	5	11
9	не в	2	11
10	человека в	6	11
11	может быть	5	11
12	не только	7	11
13	человека и	4	10
14	и все	6	10
15	в нем	3	10
16	никогда не	3	9
17	к человеку	3	9
18	в человеке	4	9
19	потому что	5	9
20	прежде всего	4	9
21	и он	2	8
22	достоевского он	2	7
23	но он	2	7
24	до конца	2	7
25	он не	8	7
26	в его	13	7
27	человеческой души	2	6
28	все это	10	6
29	как и	12	6
30	человеческой личности	3	6
31	то что	8	5
32	а в	6	5
33	записок из	3	5
34	достоевского и	3	5
35	в том	7	5
36	для достоевского	4	5
37	для него	6	5
38	в этой	5	5
39	в самом	3	5
40	в россии	3	5
41	в творчестве	6	5
42	с его	11	4
43	в преступлении	6	4
44	на земле	3	4
45	он сам	6	4
46	достоевского не	6	4
47	что не	2	4
48	и его	6	4
49	достоевский не	4	4
50	герои достоевского	4	4
51	не может	4	4
52	человеческих отношений	3	4
53	что в	12	4
54	в идиоте	3	4
55	в романах	13	4
56	записках из	3	3
57	достоевского в	12	3
58	и наказании	4	3
59	в этих	2	3
60	преступлении и	4	3
61	самого достоевского	3	3
62	романах достоевского	15	3
63	мысли и	4	3
64	это не	4	3
65	что он	6	3
66	того что	3	3
67	что человек	3	3
68	хотя бы	5	3
69	человека его	2	3
70	записки из	6	3
71	в своих	5	3
72	быть может	2	3
73	и от	4	3
74	могут быть	2	3
75	во имя	2	3
76	в бесах	3	3
77	в себе	2	3
78	когда он	2	3
79	в русской	5	3
80	о том	6	3
81	с ним	3	3
82	в записках	4	3
83	как бы	17	3
84	уже в	3	2
85	все же	5	2
86	что и	2	2
87	ее в	3	2
88	так и	2	2
89	жизни в	6	2
90	в своем	4	2
91	для человека	3	2
92	иван карамазов	2	2
93	как к	2	2
94	романов достоевского	3	2
95	что все	3	2
96	к этому	2	2
97	творчество достоевского	3	2
98	свободы и	2	2
99	в которой	3	2
100	что для	2	2
101	достоевского к	3	2
102	том что	11	2
103	так что	2	2
104	мертвого дома	2	2
105	и на	7	2
106	достоевского с	8	2
107	сказать что	2	2
108	и с	3	2
109	личности и	2	2
110	и против	2	2
111	что достоевский	7	2
112	мысль о	2	2
113	героев достоевского	3	2
114	в своей	4	2
115	так как	3	2
116	хотя и	3	2
117	к ней	2	2
118	но в	7	2
119	этом он	2	2
