N	2gram	Tiupa_Hudo_1	OGranits
1	и в	19	13
2	и его	12	12
3	прежде всего	4	9
4	не может	7	8
5	и не	15	8
6	может быть	14	8
7	и т.п	4	7
8	точки зрения	10	7
9	эстетический объект	4	7
10	в его	9	7
11	таким образом	3	6
12	не только	16	6
13	то что	4	6
14	только в	5	6
15	как бы	9	6
16	художественного произведения	3	5
17	с точки	3	5
18	и т.д	3	5
19	эстетического объекта	4	5
20	то же	10	4
21	не является	4	4
22	в своей	5	4
23	все это	2	4
24	лишь в	4	4
25	материала в	2	4
26	но в	7	4
27	произведения как	3	4
28	отношению к	9	3
29	что в	6	3
30	никогда не	2	3
31	но и	10	3
32	так и	11	3
33	в их	5	3
34	по отношению	9	3
35	не как	2	3
36	в одном	2	3
37	превращается в	2	3
38	в ее	5	3
39	как и	2	3
40	не в	7	3
41	за пределы	2	3
42	в которой	2	3
43	и то	4	3
44	не столько	3	3
45	в пределах	3	3
46	одно и	3	3
47	в себе	9	3
48	в искусстве	7	3
49	говорить о	3	3
50	и для	2	3
51	не менее	3	2
52	и др	2	2
53	для себя	2	2
54	ни одно	2	2
55	и тем	2	2
56	в нем	5	2
57	ее в	2	2
58	во всей	3	2
59	в целом	3	2
60	своего рода	5	2
61	а не	9	2
62	в отношении	3	2
63	в произведении	3	2
64	во времени	4	2
65	другой стороны	5	2
66	с другой	7	2
67	от своего	2	2
68	не на	3	2
69	в них	2	2
70	входит в	4	2
71	собственно говоря	2	2
72	а в	12	2
73	истории литературы	2	2
74	с одной	2	2
75	все эти	2	2
76	вовсе не	2	2
77	или иного	3	2
78	к тому	4	2
79	и к	3	2
80	как в	2	2
81	если бы	3	2
82	в чем	2	2
83	в том	18	2
84	так же	2	2
85	том что	8	2
86	в данном	4	2
87	в этом	11	2
88	между тем	4	2
89	в структуре	3	2
90	могут быть	4	2
91	при этом	13	2
92	всей своей	2	2
93	и ее	3	2
94	для него	4	2
95	в другом	3	2
96	одной стороны	2	2
97	литературного произведения	10	2
98	того или	3	2
99	слова и	2	2
100	в области	6	2
101	в самом	5	2
102	героя и	5	2
103	мог бы	3	2
104	имеет место	2	2
105	а также	5	2
