N	2gram	Losev_Dial_4	Tragedij
1	и в	15	18
2	в этом	11	9
3	не только	8	8
4	и не	30	7
5	и на	5	7
6	и с	4	7
7	может быть	17	7
8	как бы	14	7
9	что он	7	6
10	и его	7	6
11	же время	6	6
12	но в	3	6
13	все же	2	5
14	к жизни	3	5
15	что это	13	5
16	так и	5	5
17	это не	12	5
18	не может	11	5
19	то же	9	5
20	как и	7	5
21	у достоевского	2	5
22	в то	6	5
23	но и	4	4
24	то что	16	4
25	что в	7	4
26	он всегда	2	4
27	все это	9	4
28	я не	5	4
29	прежде всего	11	4
30	и все	11	4
31	в нем	5	4
32	и даже	6	4
33	так же	4	4
34	том что	10	4
35	но это	4	4
36	в этой	4	4
37	что я	5	4
38	и что	9	4
39	в себе	8	4
40	еще не	4	4
41	об этом	3	4
42	один из	4	3
43	с ее	10	3
44	отнюдь не	4	3
45	в своем	5	3
46	никто не	2	3
47	как в	3	3
48	все эти	3	3
49	тем самым	3	3
50	жизнь и	2	3
51	и как	4	3
52	должно быть	2	3
53	в его	4	3
54	что с	2	3
55	при этом	2	3
56	как будто	2	3
57	мог бы	2	3
58	как это	2	3
59	с ним	3	3
60	не имеет	14	2
61	перед нами	6	2
62	от всего	3	2
63	не могут	2	2
64	но они	2	2
65	что и	6	2
66	а что	2	2
67	она должна	2	2
68	как же	5	2
69	в частности	2	2
70	то и	2	2
71	что все	4	2
72	а как	2	2
73	вопрос о	2	2
74	не просто	7	2
75	уже не	9	2
76	бы и	3	2
77	с его	5	2
78	ни в	8	2
79	в ее	2	2
80	в том	11	2
81	говорит о	3	2
82	отличие от	2	2
83	но все	2	2
84	так что	6	2
85	не в	8	2
86	что этот	2	2
87	точно так	2	2
88	в данном	3	2
89	и то	3	2
90	потому что	10	2
91	с тем	4	2
92	тем что	2	2
93	личности и	10	2
94	в виде	3	2
95	только о	3	2
96	и ее	8	2
97	о том	5	2
98	и это	8	2
99	в самом	2	2
100	не мог	2	2
101	ничего не	17	2
102	в одном	4	2
103	что она	5	2
104	никогда не	2	2
