N	2gram	Trubetskoy_1	Tvorches
1	и в	26	21
2	как бы	12	17
3	в то	4	15
4	в его	5	13
5	то же	4	13
6	что в	9	12
7	же время	2	12
8	то есть	4	12
9	с его	2	11
10	том что	7	11
11	все это	6	10
12	он не	4	8
13	то что	7	8
14	в свою	2	7
15	в том	11	7
16	при этом	3	7
17	не только	10	7
18	и не	8	7
19	и на	2	7
20	но в	7	7
21	что он	4	6
22	и все	2	6
23	не менее	3	6
24	для него	3	6
25	в котором	4	6
26	а в	4	6
27	в этом	15	6
28	о том	6	6
29	а не	5	5
30	может быть	10	5
31	в этой	4	5
32	все же	6	5
33	таким образом	22	5
34	хотя бы	3	5
35	потому что	7	5
36	только в	4	5
37	в своем	3	4
38	больше не	2	4
39	прежде всего	2	4
40	русской жизни	4	4
41	в мире	5	4
42	и как	3	4
43	из всех	3	4
44	одной из	5	4
45	одним из	2	4
46	один из	2	4
47	не может	4	4
48	и от	4	4
49	уже в	2	3
50	самого начала	2	3
51	и другие	3	3
52	никогда не	5	3
53	с другой	8	3
54	что все	4	3
55	представление о	6	3
56	с самого	3	3
57	но не	8	3
58	со всеми	2	3
59	в самом	4	3
60	но если	2	3
61	в нем	4	3
62	жизни и	2	3
63	но и	9	3
64	уже не	3	3
65	добра и	2	3
66	того что	3	3
67	и даже	3	3
68	и по	4	3
69	так же	5	3
70	в которой	3	3
71	связан с	2	3
72	и с	10	3
73	в виде	4	3
74	в россии	2	3
75	героев и	2	3
76	далеко не	4	3
77	представляет собой	3	3
78	так как	9	3
79	в этих	4	2
80	в качестве	3	2
81	от людей	2	2
82	и мир	2	2
83	по крайней	5	2
84	точно так	3	2
85	к этому	3	2
86	можно сказать	3	2
87	что и	6	2
88	крайней мере	5	2
89	надо было	2	2
90	так что	3	2
91	не в	2	2
92	бога и	4	2
93	был всегда	2	2
94	того же	6	2
95	тот же	2	2
96	мысль о	2	2
97	из них	7	2
98	время он	2	2
99	к тому	6	2
100	некоторые из	2	2
101	к достижению	3	2
102	из себя	2	2
103	если в	3	2
104	тем не	3	2
105	когда он	3	2
106	вместе с	15	2
107	к жизни	5	2
108	так и	6	2
109	приводит к	2	2
110	вслед за	2	2
111	именно в	2	2
112	одновременно и	2	2
113	в одно	2	2
114	и у	8	2
115	и наконец	2	2
116	только что	2	2
117	свидетельствует о	2	2
118	людей и	2	2
119	сказать что	2	2
120	больше чем	2	2
121	когда человек	2	2
122	в себе	6	2
123	о котором	2	2
124	в виду	2	2
