N	2gram	Nazirov_Tr_1	Komedia
1	и в	18	26
2	и не	7	14
3	к тому	2	12
4	так и	5	12
5	и его	6	12
6	в том	2	11
7	может быть	7	11
8	но и	4	10
9	в этом	9	10
10	что в	4	9
11	столь же	2	9
12	том что	4	9
13	и на	7	7
14	не только	8	7
15	что и	2	7
16	в своем	3	6
17	то что	4	6
18	еще не	4	6
19	в нем	4	6
20	iii в	3	6
21	потому что	2	6
22	и здесь	2	6
23	в то	5	6
24	о том	2	6
25	с его	2	5
26	с тем	2	5
27	что он	6	5
28	один из	3	5
29	ни в	2	5
30	так что	2	5
31	и с	7	5
32	уже в	3	4
33	в частности	2	4
34	у него	6	4
35	прежде всего	4	4
36	о его	2	4
37	как и	5	4
38	в целом	4	4
39	как будто	3	4
40	в его	3	4
41	еще в	2	4
42	все же	5	4
43	в самом	2	4
44	что это	5	4
45	как это	3	4
46	его в	2	4
47	о чем	3	3
48	в образе	6	3
49	вопрос о	2	3
50	в поле	3	3
51	но все	2	3
52	же время	6	3
53	и сам	3	3
54	по поводу	2	3
55	никто не	3	3
56	не имеет	2	3
57	все это	4	3
58	то же	5	3
59	как в	3	3
60	к нему	3	3
61	друг друга	2	3
62	тем что	2	3
63	не может	5	3
64	в этой	4	3
65	но в	6	3
66	из самых	2	2
67	отнюдь не	3	2
68	это не	5	2
69	в конце	3	2
70	в одном	2	2
71	и я	2	2
72	даже на	2	2
73	своего отца	3	2
74	об этом	4	2
75	он был	2	2
76	в ее	2	2
77	не в	2	2
78	одна из	2	2
79	этим объясняется	2	2
80	в это	2	2
81	он не	2	2
82	как бы	7	2
83	и это	2	2
84	в мире	3	2
85	отношение к	2	2
86	и за	2	2
87	с г	2	2
88	что она	2	2
89	в отличие	2	2
90	и что	4	2
91	времени в	2	2
92	бы и	2	2
93	отличие от	2	2
94	в глазах	2	2
95	тут же	2	2
96	имеет в	2	2
97	и ее	2	2
98	и все	4	2
99	в первом	2	2
