N	2gram	Tiupa_Teor_1	Myslijsy
1	потому что	3	46
2	то есть	12	34
3	в слове	3	32
4	в том	16	32
5	и в	18	30
6	может быть	17	28
7	то же	7	23
8	не только	16	21
9	только в	6	21
10	но и	9	19
11	том что	9	18
12	то что	3	18
13	того что	4	18
14	что в	9	17
15	в себе	9	16
16	не в	7	15
17	и не	13	15
18	а не	9	15
19	таким образом	3	14
20	что и	2	13
21	вместе с	2	12
22	а в	13	12
23	если бы	3	12
24	этого слова	3	11
25	так и	10	11
26	в душе	8	10
27	как и	4	10
28	как в	5	10
29	и что	3	10
30	в этом	8	10
31	в то	6	10
32	из этих	3	9
33	для него	2	9
34	в нем	4	9
35	между тем	5	9
36	в самом	4	8
37	и то	2	8
38	слова в	2	7
39	с другой	7	7
40	вовсе не	3	7
41	к тому	2	7
42	но не	9	7
43	с одной	2	7
44	тем самым	4	7
45	не может	4	6
46	уже не	4	6
47	не могут	2	5
48	в них	2	5
49	художественного произведения	4	5
50	и как	2	5
51	же время	5	5
52	в своем	4	5
53	языка в	4	5
54	еще не	4	5
55	и тем	3	5
56	отношению к	4	5
57	не менее	4	5
58	по отношению	4	5
59	я как	2	5
60	с другими	5	5
61	не следует	4	5
62	сказать что	3	5
63	на деле	2	5
64	столь же	2	4
65	для понимания	2	4
66	все это	2	4
67	произведении искусства	2	4
68	в его	6	4
69	была бы	3	4
70	не все	3	4
71	один из	2	4
72	другой стороны	5	4
73	а и	4	4
74	и его	8	4
75	он не	3	4
76	и по	2	4
77	говоря о	3	4
78	далеко не	2	4
79	и это	2	4
80	и потому	2	4
81	для меня	2	4
82	место в	5	3
83	могут быть	4	3
84	тому что	2	3
85	прежде всего	2	3
86	а только	3	3
87	я и	2	3
88	тем не	3	3
89	именно в	3	3
90	есть в	2	3
91	более или	2	3
92	не будет	2	3
93	свою очередь	2	3
94	в свою	3	3
95	можно сказать	3	3
96	одной стороны	2	3
97	при этом	12	3
98	вслед за	2	3
99	что она	2	3
100	как бы	5	3
101	никто не	2	3
102	в целом	3	3
103	со стороны	2	3
104	или менее	2	3
105	в одно	2	3
106	так же	2	3
107	или в	3	3
108	в искусстве	6	3
109	говорить о	3	3
110	не знает	3	3
111	его в	2	3
112	в первом	2	3
113	в произведении	3	3
114	в которой	2	3
115	это было	2	3
116	только не	2	2
117	перед нами	2	2
118	об этом	2	2
119	со своей	3	2
120	в какой	2	2
121	в одном	2	2
122	отношение к	5	2
123	одной из	2	2
124	в ее	5	2
125	в этой	3	2
126	по своему	2	2
127	могла бы	2	2
128	одно слово	2	2
129	и о	4	2
130	за пределы	2	2
131	так или	4	2
132	даже в	3	2
133	зрения и	2	2
134	в своей	6	2
135	в их	2	2
136	в форме	2	2
137	так в	4	2
138	тогда как	15	2
139	а с	3	2
140	и даже	2	2
141	и притом	2	2
142	их в	3	2
143	ни в	2	2
144	точки зрения	9	2
145	а напротив	2	2
146	отношении к	2	2
147	произведения искусства	2	2
148	в области	4	2
149	понятие о	2	2
