N	2gram	Tiupa_Hudo_2	Sovremen
1	не может	4	17
2	точки зрения	2	12
3	может быть	8	12
4	в этом	13	7
5	и в	28	7
6	и не	18	6
7	как и	11	6
8	ничего не	5	6
9	что же	2	5
10	прежде всего	3	5
11	с точки	2	5
12	как бы	5	4
13	жизни и	6	4
14	вместе с	2	4
15	это не	6	4
16	а в	6	4
17	не только	11	4
18	в том	15	4
19	из них	2	4
20	все же	2	3
21	отнюдь не	2	3
22	все это	3	3
23	то же	6	3
24	у всех	3	3
25	в нем	3	3
26	а не	14	3
27	и к	2	3
28	для нас	3	3
29	не в	13	3
30	в этой	5	3
31	одна из	2	3
32	еще не	3	3
33	при этом	11	3
34	было бы	3	3
35	и т.д	2	3
36	в одном	3	3
37	и все	7	3
38	как он	3	3
39	в первом	2	3
40	в себе	9	3
41	следующим образом	3	3
42	что она	7	3
43	но в	2	3
44	что это	5	2
45	не менее	5	2
46	в виде	2	2
47	у него	5	2
48	в нашем	2	2
49	приводит к	2	2
50	то и	4	2
51	из этих	2	2
52	что все	3	2
53	с одной	3	2
54	как мы	2	2
55	уже не	10	2
56	или иной	2	2
57	самом деле	3	2
58	роль в	2	2
59	мы с	3	2
60	тем не	4	2
61	мы знаем	2	2
62	она может	2	2
63	той же	2	2
64	на этом	2	2
65	теперь же	3	2
66	что в	5	2
67	говорить о	2	2
68	же самое	3	2
69	в самом	5	2
70	ее на	2	2
71	в его	11	2
72	все те	2	2
