N	2gram	Kanaev_Sov_1	Myslijsy
1	в том	4	32
2	и в	7	30
3	может быть	12	28
4	то же	3	23
5	не только	4	21
6	для нас	3	20
7	что в	2	17
8	в себе	3	16
9	не в	3	15
10	и не	6	15
11	а не	3	15
12	таким образом	11	14
13	так как	4	13
14	вместе с	4	12
15	а в	4	12
16	как и	6	10
17	и что	2	10
18	в этом	7	10
19	из этих	2	9
20	было бы	3	9
21	в нем	3	9
22	мы не	9	9
23	в самом	2	8
24	как мы	2	7
25	с одной	2	7
26	с этим	2	6
27	из них	4	6
28	то и	2	6
29	не может	17	6
30	уже не	2	6
31	уже в	3	5
32	не могут	2	5
33	еще не	3	5
34	не менее	2	5
35	что это	2	4
36	форма в	2	4
37	мы видели	4	4
38	все это	3	4
39	в его	2	4
40	или же	2	4
41	тем же	2	4
42	и по	2	4
43	мы должны	4	4
44	в один	2	4
45	и потому	3	4
46	и есть	2	3
47	могут быть	2	3
48	прежде всего	5	3
49	и все	3	3
50	что все	2	3
51	не можем	7	3
52	тем не	2	3
53	свою очередь	2	3
54	мы можем	6	3
55	что при	2	3
56	в свою	2	3
57	при этом	3	3
58	что она	3	3
59	как бы	4	3
60	из двух	3	3
61	в целом	4	3
62	не знаем	2	3
63	дает нам	2	3
64	в таком	2	3
65	в каждом	8	3
66	говорить о	2	3
67	в первом	3	3
68	в которой	2	3
69	каждого из	2	2
70	но все	2	2
71	каждый раз	6	2
72	не подлежит	3	2
73	в одном	3	2
74	для развития	2	2
75	не дает	2	2
76	на котором	2	2
77	мы видим	2	2
78	в этой	3	2
79	у него	2	2
80	и мы	3	2
81	на его	2	2
82	только один	2	2
83	но мы	3	2
84	все же	3	2
85	жизни и	4	2
86	что же	5	2
87	в виде	2	2
88	развития в	2	2
89	самом деле	2	2
90	в системе	3	2
91	что такое	2	2
92	и наконец	5	2
93	и даже	2	2
94	той же	2	2
95	только одну	2	2
96	их в	4	2
97	точки зрения	12	2
98	с общим	2	2
99	так сказать	2	2
100	когда мы	3	2
101	в области	3	2
