N	2gram	Tiupa_Hudo_1	Hudozhes
1	том что	8	16
2	и в	19	14
3	так и	11	13
4	а не	9	12
5	в том	18	12
6	не только	16	12
7	при этом	13	12
8	о том	2	12
9	прежде всего	4	11
10	в этом	11	11
11	в себе	9	11
12	в рассказе	3	11
13	для него	4	10
14	в своей	5	10
15	что он	3	9
16	как и	2	9
17	в качестве	24	9
18	то же	10	9
19	как в	2	8
20	то что	4	8
21	же время	5	8
22	отношению к	9	8
23	по отношению	9	8
24	между тем	4	8
25	в этой	2	8
26	в то	6	8
27	в его	9	8
28	это не	2	7
29	личности в	4	7
30	к тому	4	7
31	уже не	4	7
32	не в	7	7
33	еще не	3	7
34	своего рода	5	7
35	как бы	9	7
36	не может	7	7
37	именно в	2	7
38	а в	12	7
39	не случайно	3	7
40	тогда как	13	7
41	никогда не	2	6
42	что в	6	6
43	читателя в	3	6
44	жизни в	2	6
45	как правило	2	6
46	не менее	3	5
47	с его	6	5
48	к жизни	2	5
49	в частности	13	5
50	в этих	3	5
51	об этом	2	5
52	может быть	14	5
53	только в	5	5
54	в аспекте	2	5
55	но и	10	5
56	и его	12	5
57	потому что	3	5
58	ни в	5	5
59	точки зрения	10	5
60	человеческих отношений	2	5
61	героя и	5	5
62	но в	7	5
63	тому что	2	4
64	в своем	2	4
65	можно сказать	5	4
66	и к	3	4
67	а только	4	4
68	тем не	3	4
69	то в	2	4
70	картины мира	3	4
71	в самом	5	4
72	и о	3	4
73	один из	2	4
74	что она	2	4
75	картина мира	5	4
76	себя в	7	4
77	как раз	3	4
78	художественного целого	3	4
79	человеческой жизни	2	4
80	того что	4	4
81	человеческого я	3	4
82	он не	4	4
83	по своей	7	4
84	в русской	3	4
85	и это	2	4
86	всего лишь	4	4
87	с ним	2	4
88	но не	11	3
89	если бы	3	3
90	отнюдь не	2	3
91	превращается в	2	3
92	но он	3	3
93	в мире	21	3
94	в ходе	5	3
95	в ее	5	3
96	говорить о	3	3
97	художественной реальности	4	3
98	по своему	2	3
99	в пределах	3	3
100	такого рода	10	3
101	по преимуществу	2	3
102	несет в	2	3
103	человеческого бытия	2	3
104	даже в	3	3
105	для себя	2	3
106	в нем	5	3
107	русской литературе	2	3
108	со стороны	2	3
109	в тексте	9	3
110	приводит к	5	3
111	и для	2	3
112	все эти	2	3
113	читательского восприятия	2	3
114	лишь в	4	3
115	того чтобы	2	3
116	с точки	3	3
117	и по	2	3
118	и на	2	3
119	как к	2	3
120	в финале	2	3
121	в равной	2	3
122	его в	2	3
123	а также	5	3
124	ни к	2	2
125	автора и	3	2
126	в рамках	8	2
127	себя и	2	2
128	так или	3	2
129	однако в	4	2
130	так в	4	2
131	конечном счете	5	2
132	способ существования	2	2
133	не столько	3	2
134	художественного восприятия	4	2
135	художественности в	5	2
136	и потому	2	2
137	в себя	2	2
138	или иного	3	2
139	по себе	2	2
140	художественного письма	5	2
141	совершенно иной	2	2
142	в конечном	5	2
143	состоит в	16	2
144	своей жизни	2	2
145	в другом	3	2
146	теории литературы	2	2
147	одна из	2	2
148	и что	3	2
149	в целом	3	2
150	внутреннего я	4	2
151	внутреннего мира	2	2
152	одной из	2	2
153	например в	3	2
154	говоря о	3	2
155	хотя и	3	2
156	слова как	5	2
157	авторской позиции	2	2
158	своей природе	2	2
159	в форме	4	2
160	личности к	2	2
161	в их	5	2
162	все это	2	2
163	а с	2	2
164	не знает	3	2
165	иначе говоря	4	2
166	и не	15	2
167	от себя	3	2
168	в системе	2	2
169	того или	3	2
170	жизни как	3	2
171	на основе	2	2
172	художественного мира	2	2
173	или иначе	4	2
174	личности и	3	2
175	с ее	5	2
176	слова в	2	2
177	не следует	4	2
178	в художественном	4	2
179	но как	2	2
180	здесь не	2	2
181	я и	7	2
