N	2gram	Kanaev_Sov_1	Narrotol
1	не только	4	31
2	и не	6	23
3	при этом	3	19
4	может быть	12	15
5	как и	6	13
6	а не	3	13
7	а в	4	13
8	в этом	7	12
9	и в	7	11
10	такого рода	2	10
11	времени и	2	9
12	то же	3	8
13	в том	4	8
14	не может	17	8
15	уже не	2	8
16	у него	2	7
17	но в	3	7
18	и т.д	3	6
19	не в	3	6
20	в самом	2	6
21	как бы	4	6
22	жизни и	4	6
23	в себе	3	6
24	в его	2	6
25	в этой	3	6
26	точки зрения	12	5
27	из этих	2	4
28	в третьем	2	4
29	или иной	2	4
30	все же	3	4
31	прежде всего	5	4
32	еще не	3	4
33	в нем	3	4
34	в первом	3	4
35	из них	4	4
36	одна из	3	4
37	в одном	3	4
38	не менее	2	3
39	что в	2	3
40	в нашем	2	3
41	это не	4	3
42	тем не	2	3
43	у нас	3	3
44	в целом	4	3
45	самом деле	2	3
46	как известно	2	3
47	к чему	2	3
48	мы не	9	3
49	их в	4	3
50	и все	3	3
51	отнюдь не	3	2
52	в зависимости	4	2
53	между собой	3	2
54	не подлежит	3	2
55	а на	2	2
56	в конце	3	2
57	этих двух	2	2
58	в свою	2	2
59	как мы	2	2
60	она может	2	2
61	зависимости от	4	2
62	свою очередь	2	2
63	всяком случае	2	2
64	на две	3	2
65	вместе с	4	2
66	быть и	2	2
67	в отличие	2	2
68	тем же	2	2
69	и даже	2	2
70	отличие от	2	2
71	роль в	2	2
72	в таком	2	2
73	ничего не	6	2
74	в результате	6	2
75	во всяком	2	2
76	мы можем	6	2
77	же самое	2	2
78	так сказать	2	2
79	в области	3	2
