N	2gram	Tiupa_Vved_1	Morfolog
1	может быть	18	52
2	таким образом	4	20
3	представляет собой	15	17
4	не может	7	17
5	в этих	3	16
6	могут быть	4	15
7	этих случаях	2	14
8	и в	13	13
9	в этом	21	13
10	действующих лиц	2	13
11	перед нами	6	11
12	представляют собой	3	10
13	прежде всего	7	9
14	не всегда	2	9
15	так и	8	9
16	то же	5	9
17	и не	12	9
18	а не	15	9
19	мы имеем	5	9
20	с другой	5	8
21	что и	2	8
22	в результате	3	8
23	в качестве	8	7
24	все же	6	7
25	это не	6	6
26	в том	10	6
27	но не	5	6
28	а также	8	6
29	а в	6	6
30	подобно тому	2	6
31	не менее	4	5
32	тому как	2	5
33	в ходе	2	5
34	наряду с	2	5
35	вслед за	2	5
36	во всех	2	5
37	далеко не	4	5
38	как бы	4	5
39	не все	2	5
40	один из	3	5
41	то что	6	5
42	потому что	5	5
43	мы не	4	5
44	что в	3	4
45	об этом	4	4
46	тем не	3	4
47	отношению к	7	4
48	было бы	4	4
49	не только	20	4
50	как в	4	4
51	как мы	3	4
52	другой стороны	2	4
53	по отношению	7	4
54	как и	11	4
55	хотя и	7	4
56	тем что	2	4
57	могла бы	3	4
58	также и	4	4
59	если в	2	4
60	если бы	7	3
61	а то	2	3
62	в нашем	6	3
63	между собой	2	3
64	в начале	3	3
65	в какой	4	3
66	том что	7	3
67	но это	3	3
68	в целом	3	3
69	в пределах	2	3
70	во втором	2	3
71	он не	3	3
72	не является	3	3
73	в первом	2	3
74	но и	19	3
75	на него	2	3
76	целый ряд	2	3
77	на самом	4	3
78	самом деле	3	3
79	и по	3	3
80	и для	3	3
81	мы можем	2	3
82	в то	4	3
83	героя и	3	3
84	но в	6	3
85	если она	2	2
86	и более	3	2
87	в частности	13	2
88	однако в	4	2
89	состоит в	10	2
90	к этому	2	2
91	можно сказать	4	2
92	и к	2	2
93	не с	3	2
94	только в	6	2
95	мальчик и	2	2
96	а на	2	2
97	для него	3	2
98	одной стороны	5	2
99	у нее	2	2
100	не существует	2	2
101	быть и	2	2
102	или менее	2	2
103	а с	2	2
104	с одной	5	2
105	того что	6	2
106	что такое	18	2
107	уже не	5	2
108	не имеет	2	2
109	и его	5	2
110	можно было	2	2
111	или не	2	2
112	что мы	2	2
113	о том	5	2
114	здесь не	2	2
115	одна из	4	2
116	более или	2	2
