N	3gram	Vinokur_Ku_1	Myshleni
1	в том что	15	31
2	заключается в том	2	14
3	с точки зрения	9	11
4	в этом смысле	3	8
5	с другой стороны	6	8
6	в этом отношении	5	7
7	в самом деле	7	6
8	и того же	2	5
9	можно было бы	3	5
10	одного и того	2	5
11	для того чтобы	15	5
12	в первую очередь	2	4
13	на то что	2	4
14	этой точки зрения	2	4
15	о том что	5	3
16	в этом случае	2	3
17	в связи с	3	3
18	состоит в том	3	3
19	во всяком случае	5	3
20	вместе с тем	3	3
21	то обстоятельство что	8	3
22	речь идет о	2	3
23	в свое время	2	2
24	в свою очередь	3	2
25	а с другой	3	2
26	только в том	3	2
27	и тогда когда	3	2
28	в том чтобы	8	2
29	в целом и	2	2
