N	3gram	Losev_Prob_4	Psycholo
1	в том что	8	17
2	для того чтобы	2	13
3	с точки зрения	11	10
4	заключается в том	2	10
5	то же самое	6	6
6	на самом деле	3	5
7	только в том	3	4
8	в данном случае	5	4
9	о том что	3	4
10	сам по себе	6	4
11	можно было бы	4	4
12	тем не менее	10	4
13	в то время	2	3
14	сами по себе	2	3
15	в том виде	2	3
16	в том чтобы	2	3
17	точно так же	3	3
18	том виде как	2	2
19	это значит что	7	2
20	во всяком случае	4	2
21	потому что она	2	2
22	ни в каком	5	2
23	в то же	2	2
24	и т д	3	2
25	то время как	2	2
26	того или иного	3	2
27	с другой стороны	6	2
