N	2gram	Voloshinov_2	Russkaja
1	не может	18	22
2	и не	19	19
3	в том	7	17
4	в этом	15	17
5	и в	19	14
6	то что	4	13
7	таким образом	14	11
8	то же	16	11
9	точки зрения	17	11
10	же время	8	10
11	но и	10	10
12	в то	8	10
13	том что	10	9
14	не только	13	9
15	в себе	4	9
16	с точки	13	9
17	может быть	28	9
18	во всяком	3	9
19	прежде всего	7	8
20	того чтобы	6	8
21	как на	2	8
22	отнюдь не	8	7
23	к тому	6	7
24	не будет	3	7
25	самом деле	9	7
26	в данном	5	7
27	о том	3	7
28	и с	2	7
29	если бы	11	6
30	на самом	7	6
31	что он	4	6
32	для него	9	6
33	для того	6	6
34	всяком случае	2	6
35	в своем	2	6
36	и для	7	6
37	хотя бы	6	5
38	вопрос о	2	5
39	на то	4	5
40	и на	5	5
41	или иной	5	5
42	при этом	9	5
43	лишь при	2	5
44	до сих	3	5
45	было бы	4	5
46	конечно не	4	5
47	в своей	3	5
48	он не	3	5
49	никогда не	7	5
50	в нем	11	5
51	сих пор	3	5
52	во всех	6	5
53	а в	3	5
54	только в	8	5
55	между тем	6	5
56	но не	2	4
57	что в	2	4
58	то ни	5	4
59	как и	9	4
60	более или	2	4
61	ли это	2	4
62	как бы	19	4
63	все же	5	4
64	себя в	2	4
65	бы то	4	4
66	жизни и	2	4
67	в корне	3	4
68	вместе с	2	4
69	или менее	2	4
70	в их	5	4
71	приводит к	2	4
72	точку зрения	2	4
73	не в	10	4
74	и то	3	4
75	в этой	3	4
76	в его	5	4
77	и т.д	4	4
78	его в	7	4
79	так как	3	4
80	что это	2	3
81	именно в	2	3
82	в большинстве	5	3
83	да и	3	3
84	и как	6	3
85	в другом	3	3
86	лишь в	14	3
87	что они	2	3
88	должно быть	3	3
89	в качестве	3	3
90	еще не	3	3
91	в самом	6	3
92	одной из	3	3
93	той или	4	3
94	и потому	2	3
95	что и	3	3
96	не есть	3	3
97	не было	3	3
98	что оно	3	3
99	сводится к	2	3
100	в значительной	2	3
101	того что	4	3
102	ко всем	2	3
103	друг друга	2	3
104	или в	2	3
105	тем что	2	3
106	в виде	2	3
107	связи с	13	3
108	одна из	7	3
109	место в	2	2
110	а с	2	2
111	и более	7	2
112	должна быть	4	2
113	у него	2	2
114	его и	3	2
115	и от	3	2
116	с этим	3	2
117	или иного	2	2
118	по себе	3	2
119	будет ли	2	2
120	ни в	6	2
121	следовательно и	2	2
122	исторической роли	2	2
123	чтобы понять	2	2
124	является не	5	2
125	от него	2	2
126	совершенно не	5	2
127	и о	2	2
128	но для	2	2
129	в ней	3	2
130	и является	2	2
131	в котором	3	2
132	отношении к	5	2
133	на почве	9	2
134	если же	2	2
135	для себя	4	2
136	и тем	4	2
137	на этой	5	2
138	не к	3	2
139	быть и	6	2
140	т.е к	2	2
141	– не	6	2
142	и тогда	2	2
143	тому что	4	2
144	всем этим	2	2
145	по отношению	8	2
146	отношения к	2	2
147	все эти	3	2
148	только на	4	2
149	а не	9	2
150	и даже	2	2
151	не так	2	2
152	к нему	5	2
153	так же	5	2
154	в таком	7	2
155	мы можем	6	2
156	даже и	2	2
157	мы уже	6	2
158	в начале	2	2
159	того или	2	2
160	в этих	3	2
161	большинстве случаев	5	2
162	только с	2	2
163	но в	7	2
