N	2gram	Berdyaev_M_1	Problema
1	и в	28	44
2	и не	11	35
3	не есть	9	35
4	то есть	3	34
5	может быть	30	28
6	потому что	16	25
7	то что	5	23
8	в том	6	21
9	только в	6	19
10	а не	25	18
11	в этом	20	17
12	для нас	3	16
13	также и	2	16
14	сказать что	2	16
15	даже и	2	16
16	когда мы	2	15
17	не только	29	14
18	не в	16	13
19	но в	7	12
20	том что	3	12
21	но и	25	10
22	в виду	2	10
23	у нас	5	10
24	как и	5	10
25	это не	5	9
26	и от	2	9
27	в нем	13	9
28	не имеет	3	9
29	и с	3	9
30	как бы	2	9
31	так как	3	9
32	что он	10	9
33	в то	2	9
34	в его	9	9
35	что и	4	9
36	и это	12	9
37	что в	10	8
38	только и	3	8
39	смысле слова	4	8
40	того что	7	8
41	было бы	10	8
42	он не	24	8
43	в себе	7	8
44	не может	28	7
45	уже не	4	7
46	все эти	2	7
47	и что	2	7
48	с ним	2	7
49	это и	4	7
50	и потому	10	7
51	значит что	4	7
52	никогда не	14	6
53	но если	3	6
54	жизни и	2	6
55	нет ничего	7	6
56	и к	2	6
57	о том	2	6
58	все же	2	6
59	не было	18	5
60	в конце	7	5
61	с тем	9	5
62	и есть	14	5
63	в ней	15	5
64	все это	6	5
65	в своем	10	5
66	а в	4	5
67	точки зрения	4	5
68	есть не	4	5
69	за пределы	4	5
70	с ней	2	5
71	в своей	15	5
72	как в	2	5
73	и его	9	5
74	он сам	6	4
75	это значит	3	4
76	время как	2	4
77	ни с	4	4
78	отличается от	2	4
79	есть только	2	4
80	то время	2	4
81	в ее	3	4
82	на этот	2	4
83	тем что	4	4
84	в каком	2	4
85	уже в	4	3
86	прежде всего	10	3
87	к тому	3	3
88	есть уже	4	3
89	и как	2	3
90	это есть	3	3
91	с самим	2	3
92	в этой	6	3
93	для него	11	3
94	в самом	11	3
95	человека но	4	3
96	отношения к	4	3
97	не так	3	3
98	с этой	4	3
99	в которых	4	3
100	самого себя	2	3
101	его в	3	3
102	том смысле	2	3
103	конце концов	2	3
104	с собой	3	3
105	если бы	2	3
106	но не	8	3
107	она не	4	3
108	не значит	2	3
109	его как	2	3
110	и все	10	3
111	в той	2	3
112	хотя бы	3	3
113	образ и	2	3
114	как будто	2	3
115	будто бы	3	3
116	ничего не	3	3
117	не был	7	2
118	в этих	4	2
119	никто не	2	2
120	своих героев	2	2
121	до сих	2	2
122	и нет	2	2
123	о чем	2	2
124	есть также	2	2
125	от его	2	2
126	в котором	8	2
127	в их	4	2
128	и по	4	2
129	его не	3	2
130	в основе	2	2
131	с этим	3	2
132	он и	2	2
133	в начале	2	2
134	переходит в	15	2
135	бы в	2	2
136	в самой	7	2
137	с которой	2	2
138	а как	2	2
139	и там	4	2
140	для них	3	2
141	если нет	5	2
142	и во	2	2
143	она может	2	2
144	литературы и	2	2
145	от него	4	2
146	по своему	2	2
147	есть и	3	2
148	с их	2	2
149	себя в	3	2
150	по сравнению	2	2
151	когда он	3	2
152	вместе с	6	2
153	сих пор	2	2
154	человеческой жизни	2	2
155	и сама	2	2
156	и у	2	2
157	и для	2	2
158	у человека	5	2
159	л толстой	2	2
160	он в	2	2
161	могут быть	2	2
162	эти слова	2	2
163	разного рода	2	2
164	в которой	6	2
