N	2gram	Bakhtin_Fr_3	Otkroven
1	у него	8	22
2	и в	40	19
3	но и	11	13
4	и не	13	13
5	в этом	15	12
6	а не	5	11
7	может быть	9	11
8	не только	13	11
9	и все	9	10
10	в нем	5	10
11	не было	5	9
12	потому что	2	9
13	прежде всего	16	9
14	он был	3	8
15	лишь в	2	7
16	но он	2	7
17	до конца	6	7
18	он не	9	7
19	в его	13	7
20	все это	4	6
21	как и	11	6
22	то что	5	5
23	а в	3	5
24	отношение к	8	5
25	в том	8	5
26	для него	5	5
27	в этой	3	5
28	в самом	6	5
29	с его	3	4
30	и мысли	3	4
31	того чтобы	4	4
32	и его	17	4
33	все эти	8	4
34	не может	3	4
35	что в	12	4
36	него и	2	4
37	к нему	2	3
38	в этих	6	3
39	и есть	3	3
40	это не	2	3
41	и вот	2	3
42	что он	2	3
43	для того	3	3
44	хотя бы	2	3
45	в своих	5	3
46	еще не	3	3
47	и от	3	3
48	все что	2	3
49	и ее	2	3
50	в себе	3	3
51	было бы	4	3
52	о том	4	3
53	как бы	3	3
54	в этот	2	2
55	уже в	2	2
56	все же	2	2
57	что и	3	2
58	он в	2	2
59	и для	5	2
60	в истории	4	2
61	так и	3	2
62	в своем	7	2
63	к этому	6	2
64	был еще	2	2
65	и к	3	2
66	ко всем	3	2
67	и очень	2	2
68	в ее	3	2
69	в которой	2	2
70	в других	3	2
71	что для	2	2
72	том что	4	2
73	своей жизни	2	2
74	в другом	3	2
75	и на	8	2
76	сказать что	3	2
77	и с	8	2
78	тем что	3	2
79	одно из	3	2
80	даже и	2	2
81	момент в	2	2
82	в своей	6	2
83	так как	4	2
84	и о	4	2
85	к этой	3	2
86	но в	8	2
87	и потому	4	2
