N	2gram	Voloshinov_1	formyVre
1	и в	13	46
2	в этом	2	22
3	прежде всего	9	14
4	вовсе не	2	13
5	и его	12	12
6	только в	6	11
7	не только	6	11
8	в том	2	10
9	как бы	6	10
10	точки зрения	7	10
11	но в	4	10
12	не в	3	9
13	мы уже	2	9
14	но и	3	9
15	и не	8	9
16	и для	3	9
17	в ряд	2	9
18	в связи	2	8
19	как и	3	8
20	в его	7	8
21	то же	4	8
22	с точки	5	8
23	в них	2	7
24	в одном	3	7
25	может быть	8	7
26	то что	6	7
27	так и	3	7
28	никогда не	3	6
29	и все	3	6
30	при этом	2	6
31	все же	5	6
32	все это	4	6
33	те же	2	6
34	и наконец	5	6
35	так как	3	6
36	с этим	3	5
37	связанные с	2	5
38	в пределах	3	5
39	и др	2	5
40	в нем	2	5
41	что в	3	5
42	все эти	2	5
43	тела и	3	5
44	уже в	2	4
45	с этой	2	4
46	том что	2	4
47	что они	2	4
48	и их	7	4
49	как в	2	4
50	а не	2	4
51	в себе	3	4
52	связанных с	2	3
53	не является	4	3
54	с помощью	2	3
55	к тому	2	3
56	для него	2	3
57	тот же	2	3
58	имеет место	2	3
59	а также	2	3
60	в этот	2	3
61	слова и	2	3
62	ее в	2	3
63	во времени	2	3
64	не на	2	3
65	таким образом	6	3
66	в их	3	3
67	здесь мы	3	3
68	а в	2	3
69	роль в	2	3
70	тем что	2	3
71	в другом	2	3
72	говорить о	3	2
73	с другой	2	2
74	в отношении	2	2
75	не мог	2	2
76	мы видим	2	2
77	смысле слова	2	2
78	и пр	7	2
79	было бы	4	2
80	и к	2	2
81	наконец в	2	2
82	явлений и	2	2
83	и т.п	7	2
84	не может	8	2
85	с одной	2	2
86	в двух	4	2
87	с телом	2	2
88	лишь в	4	2
89	так же	2	2
90	в данном	2	2
91	от этого	2	2
92	и стиль	2	2
93	могут быть	2	2
94	в поэзии	5	2
95	там где	2	2
96	и должно	2	2
