N	3gram	Vinokur_St_2	Psycholo
1	для того чтобы	5	19
2	на то что	2	16
3	в том что	16	14
4	к тому что	5	6
5	о том что	11	6
6	в самом деле	2	5
7	до сих пор	5	5
8	с другой стороны	3	5
9	не только не	2	4
10	по этому поводу	2	4
11	тот факт что	4	4
12	то что он	2	3
13	в этом отношении	9	3
14	иметь в виду	3	3
15	с самого начала	3	3
16	вместе с тем	5	3
17	и т д	6	3
18	с тем что	2	3
19	и т п	3	3
20	сами по себе	2	2
21	обратить внимание на	4	2
22	в отличие от	2	2
23	так же как	3	2
24	принять во внимание	2	2
25	то что в	2	2
26	с точки зрения	2	2
27	вопрос о том	3	2
