N	2gram	Vinokur_Vv_1	VLabPisa
1	таким образом	19	27
2	в этом	34	26
3	и в	27	25
4	и т	43	24
5	не только	21	22
6	может быть	24	21
7	хотя бы	5	20
8	и не	13	19
9	т е	38	17
10	не может	13	17
11	в его	10	15
12	т д	37	15
13	прежде всего	8	13
14	в том	31	13
15	этом отношении	3	13
16	в частности	3	12
17	все это	6	12
18	как это	5	12
19	с другой	8	11
20	в силу	3	11
21	из них	3	11
22	не могут	5	10
23	в качестве	7	10
24	о том	15	10
25	по этому	2	9
26	к этому	3	9
27	об этом	5	9
28	что в	11	9
29	и др	2	9
30	но и	5	9
31	то же	8	9
32	т п	5	9
33	все эти	3	8
34	на основании	5	8
35	в своем	3	8
36	другой стороны	5	8
37	могут быть	4	8
38	не следует	2	8
39	из этих	5	7
40	как и	5	7
41	том что	26	7
42	было бы	5	7
43	говорит о	3	7
44	отношению к	4	7
45	во всех	2	7
46	вместе с	6	7
47	по отношению	4	7
48	этому поводу	2	7
49	произведения и	2	7
50	а не	3	7
51	это не	8	6
52	в себе	4	6
53	то что	17	6
54	том же	2	6
55	в нем	13	6
56	бы и	2	6
57	и его	5	6
58	между тем	8	6
59	в то	5	6
60	в результате	3	5
61	тому что	2	5
62	же время	5	5
63	все же	8	5
64	и при	2	5
65	связи с	3	5
66	и есть	3	5
67	одним из	5	5
68	как бы	5	5
69	один из	6	5
70	работы над	6	5
71	в их	11	5
72	сказать что	5	5
73	только в	13	5
74	не в	8	5
75	к тому	4	4
76	никогда не	3	4
77	в одном	4	4
78	в целом	5	4
79	что он	4	4
80	можно сказать	3	4
81	в ее	11	4
82	одна из	2	4
83	в своей	4	4
84	в самом	12	4
85	должен быть	4	4
86	как раз	4	4
87	в них	4	4
88	в связи	2	4
89	вот почему	3	4
90	чем же	3	4
91	в этой	3	4
92	это только	4	4
93	познания и	2	4
94	это делает	2	3
95	и ее	4	3
96	с тем	6	3
97	и как	9	3
98	даже и	3	3
99	или меньшей	2	3
100	в конце	3	3
101	только что	4	3
102	у нас	2	3
103	по существу	2	3
104	мы видели	2	3
105	из его	2	3
106	но как	2	3
107	большей или	2	3
108	как о	4	3
109	с этим	2	3
110	что не	5	3
111	например в	2	3
112	в виду	4	3
113	в котором	4	3
114	его в	6	3
115	что и	3	3
116	жизни и	2	3
117	него в	2	3
118	например что	2	3
119	именно в	8	3
120	этот вопрос	4	3
121	этой области	3	3
122	в значительной	2	3
123	имеет свою	2	3
124	того что	12	3
125	так же	3	3
126	в работе	3	3
127	в которых	6	3
128	как на	11	3
129	точки зрения	7	3
130	не менее	8	2
131	на вопрос	6	2
132	он сам	3	2
133	в каждом	4	2
134	зависит от	3	2
135	связана с	4	2
136	обычно и	2	2
137	по крайней	4	2
138	вовсе не	6	2
139	а как	3	2
140	то о	2	2
141	по себе	9	2
142	и заключается	4	2
143	стороны и	3	2
144	только о	2	2
145	крайней мере	4	2
146	до сих	5	2
147	но не	7	2
148	в различных	2	2
149	том отношении	3	2
150	смысле слова	7	2
151	так например	6	2
152	еще не	4	2
153	одной стороны	4	2
154	в большей	7	2
155	же самое	2	2
156	для того	21	2
157	отношении что	3	2
158	он и	2	2
159	в общем	12	2
160	одной из	3	2
161	который по	2	2
162	то это	3	2
163	если бы	2	2
164	мы имеем	3	2
165	ни одна	2	2
166	том чтобы	6	2
167	ни с	2	2
168	в ней	3	2
169	действительность в	3	2
170	что она	3	2
171	конце концов	2	2
172	и даже	5	2
173	не вполне	4	2
174	всяком случае	3	2
175	при помощи	2	2
176	после этого	2	2
177	каждой из	3	2
178	сих пор	5	2
179	этот процесс	3	2
180	от того	3	2
181	до нас	3	2
182	вообще и	3	2
183	от характера	3	2
184	а в	5	2
185	в особенности	4	2
186	как об	9	2
187	еще и	3	2
188	с одной	4	2
189	что оно	2	2
190	в течение	5	2
191	но с	4	2
192	заключается в	4	2
193	того чтобы	21	2
194	из которых	2	2
195	что такое	10	2
196	между ними	2	2
197	и для	4	2
198	по его	2	2
199	другом месте	2	2
200	можно было	7	2
201	в своих	2	2
202	не столько	2	2
203	также и	16	2
204	во всяком	3	2
205	хотя и	3	2
206	этого рода	8	2
207	как например	5	2
208	говорить о	3	2
209	в другом	3	2
210	что даже	2	2
211	единого и	2	2
212	что мы	2	2
213	будто бы	2	2
214	как он	6	2
215	образом по	2	2
216	в чем	4	2
217	в области	4	2
218	же как	3	2
219	тогда когда	3	2
220	о чем	4	2
221	но в	10	2
222	что нет	2	2
