N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	25
2	что он	4	22
3	вместе с	2	22
4	может быть	4	17
5	т е	3	16
6	не только	9	13
7	но и	7	13
8	в его	3	12
9	и не	5	11
10	уже не	2	11
11	все же	6	10
12	в этом	8	10
13	тем что	3	10
14	его в	3	9
15	и его	3	9
16	таким образом	2	9
17	связи с	3	8
18	что в	7	8
19	мы знаем	2	8
20	том что	3	8
21	еще не	2	8
22	и что	8	8
23	во время	2	7
24	как и	6	7
25	но это	2	7
26	то что	7	7
27	в нем	6	7
28	при помощи	2	7
29	о том	4	7
30	это не	4	6
31	не может	2	6
32	и он	2	6
33	в том	3	6
34	для нас	4	5
35	в ней	4	5
36	в него	2	5
37	так же	4	5
38	не менее	2	4
39	что у	3	4
40	наряду с	3	4
41	же как	2	4
42	все это	4	4
43	в связи	3	4
44	то же	5	4
45	в истории	4	4
46	его на	2	4
47	он не	3	4
48	и это	2	4
49	с ним	4	4
50	после смерти	2	3
51	никогда не	2	3
52	и как	3	3
53	и все	7	3
54	в свою	2	3
55	в этой	2	3
56	в то	5	3
57	о нем	6	3
58	а в	2	3
59	их в	2	3
60	и с	6	3
61	человека в	3	3
62	в русской	3	3
63	уже в	4	2
64	у него	5	2
65	его и	2	2
66	к этому	3	2
67	на то	3	2
68	об этом	5	2
69	же в	2	2
70	одна из	2	2
71	после этого	2	2
72	в это	2	2
73	несмотря на	4	2
74	одним из	3	2
75	как бы	4	2
76	в своей	2	2
77	с которым	2	2
78	и стал	2	2
79	чтобы он	3	2
80	так в	2	2
81	но он	3	2
82	точки зрения	2	2
83	из них	2	2
84	о чем	2	2
