N	2gram	Losev_Vlad_3	Morfolog
1	может быть	8	52
2	таким образом	11	20
3	не может	14	17
4	в этих	2	16
5	с этим	2	14
6	и в	40	13
7	в этом	16	13
8	так как	7	12
9	перед нами	3	11
10	связи с	2	11
11	заметить что	2	10
12	прежде всего	10	9
13	так и	6	9
14	в связи	3	9
15	то же	4	9
16	и не	25	9
17	а не	8	9
18	мы имеем	3	9
19	с другой	5	8
20	по существу	4	8
21	что и	7	8
22	при помощи	4	8
23	в результате	4	8
24	вопрос о	4	7
25	в качестве	3	7
26	но если	5	7
27	все же	4	7
28	это не	3	6
29	не могут	2	6
30	и здесь	6	6
31	в том	18	6
32	но не	4	6
33	а также	8	6
34	а в	7	6
35	не менее	9	5
36	если мы	4	5
37	наряду с	2	5
38	далеко не	3	5
39	как бы	3	5
40	не все	3	5
41	то что	28	5
42	потому что	11	5
43	мы не	2	5
44	что в	17	4
45	и как	7	4
46	вовсе не	13	4
47	об этом	6	4
48	что его	2	4
49	тем не	10	4
50	было бы	4	4
51	несмотря на	7	4
52	не только	25	4
53	то это	10	4
54	как мы	8	4
55	другой стороны	2	4
56	так же	8	4
57	как и	7	4
58	хотя и	7	4
59	тем что	5	4
60	точки зрения	13	4
61	с точки	6	4
62	также и	17	4
63	его в	2	4
64	а если	2	4
65	ничего не	5	4
66	только что	2	3
67	независимо от	3	3
68	если бы	3	3
69	а то	2	3
70	в нашем	2	3
71	в начале	2	3
72	в какой	2	3
73	же в	3	3
74	том что	18	3
75	но все	3	3
76	но это	6	3
77	здесь же	2	3
78	в целом	2	3
79	кроме того	6	3
80	того чтобы	3	3
81	в сущности	2	3
82	он не	8	3
83	не является	2	3
84	ни в	10	3
85	но и	18	3
86	на него	2	3
87	от того	4	3
88	то можно	2	3
89	на самом	3	3
90	заметим что	3	3
91	и по	2	3
92	к нему	3	3
93	и для	3	3
94	друг друга	2	3
95	из них	2	3
96	в то	7	3
97	мы должны	4	3
98	но в	4	3
99	значит что	6	3
100	ни к	2	2
101	совсем не	5	2
102	и более	2	2
103	с тем	7	2
104	в виде	13	2
105	и за	2	2
106	хотя бы	6	2
107	точно так	4	2
108	что эта	2	2
109	этого не	3	2
110	к этому	2	2
111	что он	5	2
112	и к	2	2
113	на первый	2	2
114	в в	2	2
115	путь к	2	2
116	не с	4	2
117	то в	6	2
118	только в	13	2
119	есть и	4	2
120	смысле слова	6	2
121	то время	4	2
122	для него	8	2
123	одной стороны	3	2
124	одной из	2	2
125	мы уже	5	2
126	но для	3	2
127	чем это	2	2
128	в настоящее	3	2
129	оно не	3	2
130	не существует	2	2
131	то как	3	2
132	быть и	2	2
133	без всякой	2	2
134	или менее	5	2
135	как например	2	2
136	и только	3	2
137	а с	4	2
138	или иные	2	2
139	с одной	3	2
140	все эти	5	2
141	дается в	2	2
142	и что	8	2
143	того что	7	2
144	для того	2	2
145	уже не	9	2
146	не имеет	4	2
147	и его	10	2
148	можно было	5	2
149	если они	2	2
150	является в	2	2
151	в каком	4	2
152	в другом	2	2
153	самого себя	2	2
154	настоящее время	3	2
155	или не	3	2
156	что мы	2	2
157	но вот	3	2
158	о том	11	2
159	здесь не	3	2
160	сказать что	12	2
161	как это	4	2
162	более или	5	2
163	время как	2	2
164	это было	3	2
