N	2gram	Savitsky_E_1	Russkaja
1	не может	9	22
2	и не	14	19
3	в том	11	17
4	в этом	12	17
5	и в	37	14
6	с другом	3	14
7	друг с	3	14
8	то что	6	13
9	таким образом	2	11
10	то же	15	11
11	точки зрения	23	11
12	же время	14	10
13	но и	14	10
14	в то	16	10
15	том что	6	9
16	не только	18	9
17	в себе	9	9
18	с точки	17	9
19	может быть	6	9
20	во всяком	3	9
21	прежде всего	9	8
22	того чтобы	6	8
23	как на	3	8
24	отнюдь не	9	7
25	к тому	8	7
26	и если	2	7
27	не будет	3	7
28	россии в	4	7
29	в данном	3	7
30	мы должны	2	7
31	о том	3	7
32	и с	2	7
33	если бы	2	6
34	и к	3	6
35	с тем	3	6
36	для того	6	6
37	всяком случае	3	6
38	если в	2	6
39	в своем	14	6
40	и для	3	6
41	в своих	2	6
42	в россии	5	6
43	между собой	2	5
44	жизни в	3	5
45	хотя бы	15	5
46	вопрос о	4	5
47	на то	6	5
48	и на	6	5
49	или иной	4	5
50	было бы	8	5
51	в своей	8	5
52	он не	2	5
53	никогда не	3	5
54	во всех	6	5
55	в последние	6	5
56	и только	3	5
57	а в	2	5
58	потому что	3	5
59	только в	9	5
60	данного народа	3	5
61	между тем	8	5
62	но не	5	4
63	не могут	2	4
64	что в	21	4
65	то ни	4	4
66	тогда когда	2	4
67	в мире	2	4
68	как и	7	4
69	ли это	3	4
70	как бы	6	4
71	бы то	4	4
72	жизни и	2	4
73	вместе с	2	4
74	со стороны	5	4
75	что же	2	4
76	в их	11	4
77	тому чтобы	2	4
78	романо-германцев и	4	4
79	не в	5	4
80	можно было	3	4
81	и то	2	4
82	в этой	2	4
83	в его	2	4
84	так как	7	4
85	он сам	2	3
86	для них	2	3
87	что это	2	3
88	можно ли	3	3
89	россию в	2	3
90	именно в	4	3
91	в большинстве	2	3
92	в будущем	3	3
93	что все	2	3
94	главным образом	2	3
95	при условии	2	3
96	и как	2	3
97	то в	4	3
98	в качестве	14	3
99	несмотря на	4	3
100	в самом	4	3
101	одной из	5	3
102	той или	4	3
103	но если	5	3
104	и потому	5	3
105	и этот	2	3
106	что и	3	3
107	не есть	2	3
108	из них	3	3
109	данном случае	2	3
110	только к	2	3
111	россии и	3	3
112	и сейчас	2	3
113	в значительной	2	3
114	того что	7	3
115	и по	5	3
116	или в	2	3
117	культуры в	4	3
118	тем что	3	3
119	и во	2	3
120	в виде	5	3
121	в порядке	2	2
122	место в	3	2
123	этой культуры	2	2
124	и более	2	2
125	должна быть	2	2
126	россии к	3	2
127	в частности	5	2
128	но даже	4	2
129	культуры с	2	2
130	культуру в	2	2
131	и от	3	2
132	с этим	2	2
133	к той	2	2
134	этот вопрос	2	2
135	европейской культуры	3	2
136	совершенно очевидно	2	2
137	культуры и	2	2
138	или иного	4	2
139	по себе	4	2
140	бы ни	3	2
141	будет ли	2	2
142	то которое	2	2
143	из всех	3	2
144	в культурном	3	2
145	не можем	2	2
146	она не	2	2
147	участие в	2	2
148	от друга	2	2
149	в ней	4	2
150	помнить что	2	2
151	в котором	2	2
152	отношении к	15	2
153	и тем	3	2
154	не к	2	2
155	друг от	2	2
156	для нас	4	2
157	в некоторых	2	2
158	время в	3	2
159	ее в	3	2
160	на основании	2	2
161	целый ряд	2	2
162	в течение	5	2
163	и что	2	2
164	тем самым	5	2
165	а не	2	2
166	и наконец	2	2
167	и даже	6	2
168	к нему	2	2
169	так же	9	2
170	в других	2	2
171	во многих	4	2
172	в таком	3	2
173	в результате	3	2
174	в силу	2	2
175	мы можем	3	2
176	на себя	3	2
177	европейской цивилизации	4	2
178	народов и	3	2
179	того или	4	2
180	как будто	2	2
181	в этих	2	2
182	большинстве случаев	3	2
183	отметить что	3	2
184	в области	11	2
185	но в	14	2
186	культурной жизни	4	2
