N	2gram	Propp_Isto_3	StatiiOP
1	и в	22	25
2	в этом	17	24
3	в том	9	20
4	что в	15	19
5	что он	9	19
6	может быть	11	19
7	тем что	4	19
8	том что	8	15
9	в этой	5	14
10	и пр	11	13
11	в его	3	12
12	то что	7	12
13	не только	14	12
14	в этих	11	11
15	так что	5	11
16	прежде всего	3	10
17	таким образом	10	10
18	и не	12	10
19	у него	3	9
20	но и	12	9
21	и т	16	8
22	т е	16	8
23	о том	3	8
24	это не	6	7
25	было бы	3	7
26	с этим	8	7
27	не может	4	7
28	точки зрения	2	7
29	в то	2	7
30	из этих	3	6
31	не в	4	6
32	только в	4	6
33	как в	2	6
34	а в	6	6
35	и на	4	6
36	в русской	3	6
37	между тем	2	6
38	то же	6	5
39	независимо от	2	5
40	в них	6	5
41	потому что	3	5
42	с другой	7	5
43	ни в	2	5
44	в котором	2	5
45	связано с	4	5
46	и это	2	5
47	а не	6	5
48	того что	5	5
49	другой стороны	7	5
50	он не	5	5
51	так и	2	5
52	мы имеем	19	5
53	но в	10	5
54	с тем	2	4
55	всяком случае	2	4
56	состоит в	3	4
57	и др	2	4
58	связана с	3	4
59	в жизни	2	4
60	у нас	4	4
61	как и	3	4
62	мы видим	8	4
63	но это	3	4
64	что здесь	6	4
65	в качестве	2	4
66	можно сказать	2	4
67	если бы	6	4
68	например в	2	4
69	и к	3	4
70	на его	3	4
71	в ней	2	4
72	к ней	4	4
73	относится к	2	4
74	а также	2	4
75	в целом	3	4
76	отношение к	4	4
77	связь с	6	4
78	в особенности	2	4
79	не было	2	4
80	в течение	6	4
81	в чем	3	4
82	к нему	5	4
83	и для	2	4
84	и с	4	4
85	время как	2	4
86	сказать что	3	4
87	во всяком	2	4
88	все же	5	4
89	то время	2	4
90	ничего не	6	4
91	и более	2	3
92	во время	6	3
93	раньше чем	3	3
94	к этому	7	3
95	показывает что	5	3
96	и здесь	7	3
97	всех этих	2	3
98	и что	2	3
99	на этом	4	3
100	одной стороны	2	3
101	между прочим	3	3
102	все эти	4	3
103	царь и	2	3
104	в некоторых	5	3
105	со стороны	3	3
106	в связи	3	3
107	уже не	7	3
108	и его	4	3
109	связан с	2	3
110	в виде	2	3
111	попадает в	11	3
112	но он	4	3
113	в другом	2	3
114	связи с	6	3
115	так как	7	3
116	что по	2	3
117	все время	2	2
118	при помощи	3	2
119	говорит и	2	2
120	не менее	5	2
121	случае в	2	2
122	должен был	3	2
123	никогда не	3	2
124	и у	3	2
125	что у	3	2
126	но они	2	2
127	в одной	3	2
128	одного из	2	2
129	вовсе не	2	2
130	и ее	3	2
131	утверждать что	2	2
132	от них	3	2
133	к тому	3	2
134	как мы	8	2
135	но все	2	2
136	такой же	2	2
137	что они	8	2
138	но не	7	2
139	а то	2	2
140	в свою	4	2
141	до сих	5	2
142	еще не	10	2
143	одна из	2	2
144	не совсем	3	2
145	вступают в	2	2
146	вот тебе	2	2
147	один из	5	2
148	тем не	5	2
149	вместе с	9	2
150	сих пор	5	2
151	ее в	3	2
152	т д	15	2
153	с одной	2	2
154	на нее	3	2
155	не мог	2	2
156	здесь есть	2	2
157	что не	2	2
158	его не	3	2
159	той же	2	2
160	во многих	2	2
161	или в	11	2
162	в которых	2	2
163	можно найти	4	2
164	то и	6	2
165	но есть	2	2
166	могут быть	5	2
167	имеем в	4	2
168	он и	3	2
169	известно что	2	2
170	в русском	2	2
171	на это	2	2
172	не имеет	2	2
173	если я	3	2
