N	2gram	Voloshinov_1	Komedia
1	и в	15	22
2	и не	16	21
3	том что	5	13
4	в том	4	12
5	таким образом	21	12
6	со стороны	2	11
7	так как	9	11
8	ни в	6	10
9	потому что	4	10
10	до сих	3	9
11	в самом	6	9
12	вместе с	4	9
13	сих пор	3	9
14	если бы	3	8
15	в своем	2	8
16	что он	8	8
17	к ней	2	8
18	в его	9	8
19	что и	2	8
20	в этом	13	8
21	его в	8	8
22	об этом	4	7
23	при этом	7	7
24	в свою	2	7
25	то же	7	7
26	а в	6	7
27	во время	5	6
28	к этому	7	6
29	еще не	7	6
30	к тому	4	6
31	может быть	13	6
32	как раз	2	6
33	самом деле	7	6
34	и что	3	6
35	того чтобы	2	6
36	и его	15	6
37	в то	6	6
38	не менее	3	5
39	что в	6	5
40	же время	5	5
41	прежде всего	11	5
42	не только	5	5
43	в своей	9	5
44	отношение к	7	5
45	все это	5	5
46	по отношению	11	5
47	он не	4	5
48	к нему	7	5
49	к себе	3	5
50	с ним	12	5
51	но в	9	5
52	с самого	7	4
53	самого начала	5	4
54	но все	2	4
55	у него	3	4
56	отнюдь не	2	4
57	между собой	4	4
58	вовсе не	2	4
59	он был	3	4
60	все же	5	4
61	не в	4	4
62	до конца	5	4
63	тому назад	2	4
64	в ней	5	4
65	то что	10	4
66	но и	4	4
67	на него	4	4
68	что она	2	4
69	в отношении	2	4
70	с помощью	9	4
71	а не	2	4
72	и для	2	4
73	точки зрения	13	4
74	на себя	2	4
75	в себе	4	4
76	бы в	2	4
77	так и	10	4
78	не является	3	4
79	хотя бы	7	4
80	и с	7	4
81	с его	8	3
82	никогда не	7	3
83	с этим	6	3
84	по всему	2	3
85	в нем	4	3
86	далеко не	4	3
87	и к	7	3
88	не позволяет	2	3
89	тем не	2	3
90	в ее	4	3
91	как и	6	3
92	в этой	5	3
93	все что	9	3
94	было бы	6	3
95	и тот	2	3
96	бы он	3	3
97	конечно не	3	3
98	как бы	11	3
99	один из	4	3
100	отношению к	9	3
101	в целом	2	3
102	отцом и	3	3
103	приводит к	2	3
104	не может	13	3
105	в течение	2	3
106	из того	2	3
107	с точки	10	3
108	и даже	2	3
109	их в	2	3
110	мы можем	12	3
111	во всяком	4	3
112	но если	2	3
113	не знает	3	3
114	и этим	3	3
115	ничего не	2	3
116	всяком случае	3	3
117	в основе	3	2
118	все время	4	2
119	отца в	2	2
120	себя и	3	2
121	в качестве	2	2
122	как в	3	2
123	это не	2	2
124	и все	4	2
125	в одном	3	2
126	человека и	6	2
127	если он	5	2
128	не могут	3	2
129	если мы	5	2
130	с отцом	3	2
131	о которой	2	2
132	мы знаем	7	2
133	в г	3	2
134	которой мы	3	2
135	она не	2	2
136	тот же	5	2
137	совершенно не	2	2
138	за пределы	2	2
139	и о	3	2
140	одним из	3	2
141	от того	3	2
142	не совсем	2	2
143	между ними	2	2
144	должен быть	2	2
145	и со	2	2
146	в развитии	4	2
147	во всех	8	2
148	отношению ко	2	2
149	на основании	2	2
150	как мы	10	2
151	по мнению	6	2
152	отношения к	2	2
153	не было	4	2
154	этом отношении	2	2
155	человека в	3	2
156	мы не	4	2
157	в эпоху	3	2
158	роль в	6	2
159	с другими	5	2
160	из этой	2	2
161	в таком	3	2
162	в своих	4	2
163	и на	3	2
164	тому что	3	2
165	между тем	2	2
166	и дать	3	2
167	нуждается в	2	2
168	он и	2	2
169	и ее	3	2
170	что мы	2	2
171	из этого	2	2
172	в области	3	2
173	отца и	3	2
174	к отцу	15	2
