N	2gram	Medvedev_F_3	DiskursI
1	не только	9	28
2	в том	7	23
3	а не	17	22
4	том что	4	19
5	может быть	25	17
6	и в	27	16
7	как и	14	16
8	в этом	18	15
9	еще не	6	14
10	но и	10	14
11	при этом	8	13
12	прежде всего	4	11
13	но не	5	11
14	и не	30	11
15	с другой	6	10
16	как в	4	10
17	в нем	15	9
18	отношению к	3	9
19	по отношению	3	9
20	не может	24	9
21	отнюдь не	8	8
22	так и	21	8
23	о том	4	8
24	но в	6	8
25	в основе	3	7
26	в его	7	7
27	со стороны	4	7
28	то же	15	7
29	роль в	4	7
30	в себе	3	7
31	только в	8	7
32	не в	12	7
33	в своем	2	6
34	и как	4	6
35	к тому	4	5
36	или иной	2	5
37	можно сказать	3	5
38	как бы	8	5
39	в котором	2	5
40	в своей	6	5
41	то что	8	5
42	во всех	3	5
43	в процессе	15	5
44	в отличие	2	5
45	сводится к	5	5
46	в эпоху	3	5
47	отличие от	2	5
48	и на	3	5
49	в данном	6	5
50	с его	2	4
51	что в	8	4
52	в сторону	2	4
53	не является	5	4
54	в них	3	4
55	не как	2	4
56	что он	6	4
57	уже не	3	4
58	в истории	5	4
59	в целом	4	4
60	же время	7	4
61	одной из	2	4
62	связи с	5	4
63	жанра в	2	4
64	лишь в	9	4
65	в которых	3	4
66	потому что	7	4
67	между тем	7	4
68	могут быть	4	4
69	однако в	2	3
70	того же	3	3
71	столь же	3	3
72	это понятие	2	3
73	это не	3	3
74	в одной	5	3
75	но при	2	3
76	вследствие этого	3	3
77	по себе	4	3
78	что и	2	3
79	в ее	4	3
80	они и	3	3
81	литературного произведения	4	3
82	в действительности	9	3
83	в данной	2	3
84	в самом	11	3
85	имеет место	3	3
86	еще в	3	3
87	или на	2	3
88	хотя бы	6	3
89	все же	6	3
90	из них	2	3
91	как не	2	3
92	бы быть	2	3
93	целого высказывания	3	3
94	таким образом	18	3
95	жанр и	2	3
96	того что	3	3
97	другой стороны	5	3
98	и даже	2	3
99	жанров в	2	3
100	принадлежат к	2	3
101	в своих	6	3
102	сказать что	3	3
103	тем что	5	3
104	точки зрения	16	3
105	неотделимо от	2	3
106	в то	7	3
107	тому как	5	3
108	в произведении	3	3
109	и потому	5	3
110	автор и	2	3
111	известной степени	2	2
112	не менее	7	2
113	никогда не	5	2
114	между собой	4	2
115	в какой	3	2
116	и во	2	2
117	и все	8	2
118	на ее	4	2
119	в каждом	5	2
120	к этому	2	2
121	в литературе	6	2
122	стороны и	2	2
123	к его	3	2
124	как его	9	2
125	в пределах	8	2
126	более того	6	2
127	общения и	2	2
128	на этом	2	2
129	отличается от	2	2
130	не от	2	2
131	в сущности	2	2
132	одним из	3	2
133	совпадает с	2	2
134	о нем	3	2
135	и др	2	2
136	произведение в	4	2
137	сами по	2	2
138	оно не	3	2
139	не могло	2	2
140	и тем	3	2
141	не есть	4	2
142	с ее	2	2
143	жанра и	3	2
144	героя и	2	2
145	дело не	2	2
146	что же	5	2
147	данном случае	4	2
148	за пределы	2	2
149	дело с	3	2
150	жизни в	3	2
151	отношения к	2	2
152	может и	3	2
153	уже в	4	2
154	человека в	2	2
155	становления и	2	2
156	как мы	8	2
157	и что	3	2
158	к другому	2	2
159	высказывания и	5	2
160	и его	19	2
161	в литературу	5	2
162	как их	2	2
163	не следует	3	2
164	во всяком	6	2
165	одну из	2	2
166	героя в	3	2
167	подобно тому	4	2
168	и понимание	5	2
169	и ее	6	2
170	к которому	2	2
171	на протяжении	2	2
172	же самое	3	2
173	в этой	2	2
174	внутренней речи	2	2
175	так сказать	5	2
176	они не	4	2
177	возможно только	2	2
178	для художественного	2	2
179	в виду	3	2
