N	2gram	Medvedev_V_1	Sovremen
1	не может	17	17
2	точки зрения	3	12
3	может быть	22	12
4	таким образом	31	11
5	в каждом	2	8
6	в этом	26	7
7	и в	26	7
8	и не	19	6
9	как и	7	6
10	в результате	5	6
11	прежде всего	13	5
12	все эти	6	5
13	и наконец	2	5
14	каждом отдельном	2	5
15	как бы	5	4
16	нет и	3	4
17	мы видели	3	4
18	в целом	4	4
19	жизни и	3	4
20	вместе с	7	4
21	в зависимости	6	4
22	это не	7	4
23	а в	3	4
24	не только	25	4
25	в том	15	4
26	их в	6	4
27	из них	9	4
28	зависимости от	5	4
29	в системе	2	3
30	все же	5	3
31	видели что	3	3
32	отнюдь не	3	3
33	он может	2	3
34	может не	2	3
35	все это	10	3
36	отличается от	2	3
37	не подлежит	2	3
38	в конце	3	3
39	то же	10	3
40	в нем	6	3
41	а не	7	3
42	и к	3	3
43	у нас	2	3
44	не в	6	3
45	в этой	4	3
46	одна из	4	3
47	еще не	2	3
48	было бы	7	3
49	в одном	4	3
50	как он	2	3
51	в себе	6	3
52	следующим образом	3	3
53	само собою	2	3
54	в области	2	3
55	что она	2	3
56	но в	2	3
57	и потому	2	3
58	так сказать	2	2
59	не могут	7	2
60	не менее	2	2
61	и есть	5	2
62	для его	4	2
63	у него	6	2
64	задача эта	2	2
65	приводит к	5	2
66	из этих	7	2
67	что все	3	2
68	с одной	2	2
69	наблюдения и	3	2
70	или иной	2	2
71	роль в	4	2
72	что при	2	2
73	из которых	2	2
74	что такое	2	2
75	и даже	2	2
76	и по	3	2
77	мы знаем	3	2
78	знаем что	2	2
79	могут быть	5	2
80	с этим	3	2
81	как известно	2	2
82	что в	10	2
83	говорить о	2	2
84	же самое	2	2
85	в самом	4	2
86	ни одна	2	2
87	в которой	2	2
88	в науке	2	2
89	в его	14	2
