N	2gram	Nazirov_Tv_1	OGranits
1	и в	21	13
2	и его	6	12
3	прежде всего	4	9
4	не может	4	8
5	и не	7	8
6	может быть	5	8
7	в его	13	7
8	таким образом	5	6
9	не только	7	6
10	то что	8	6
11	только в	5	6
12	как бы	17	6
13	все же	5	5
14	хотя бы	5	5
15	и наконец	2	5
16	то же	13	4
17	в своей	4	4
18	все это	10	4
19	в каждом	3	4
20	в двух	2	4
21	но в	7	4
22	что в	12	3
23	никогда не	3	3
24	но и	3	3
25	так и	2	3
26	в их	3	3
27	вряд ли	2	3
28	и все	6	3
29	здесь мы	2	3
30	самом деле	2	3
31	как и	12	3
32	не в	2	3
33	в которой	3	3
34	не столько	2	3
35	в себе	2	3
36	так как	3	3
37	еще в	2	2
38	не менее	6	2
39	уже в	3	2
40	а как	2	2
41	самого начала	3	2
42	и тем	2	2
43	в нем	3	2
44	ее в	3	2
45	во всей	2	2
46	в целом	4	2
47	своего рода	4	2
48	данном случае	2	2
49	а не	5	2
50	отношений между	2	2
51	во времени	3	2
52	с другой	3	2
53	а в	6	2
54	этой проблемы	2	2
55	вовсе не	5	2
56	в книге	3	2
57	есть не	2	2
58	с самого	3	2
59	к тому	2	2
60	как в	8	2
61	в материал	2	2
62	в чем	2	2
63	в том	7	2
64	так же	3	2
65	не мог	2	2
66	том что	11	2
67	в своих	5	2
68	в данном	2	2
69	в этом	6	2
70	могут быть	2	2
71	при этом	7	2
72	соответствии с	3	2
73	для него	6	2
74	тот же	2	2
75	в самом	3	2
76	героя и	2	2
77	вслед за	2	2
78	в ней	2	2
