N	2gram	Losev_Vlad_2	Myshleni
1	то что	20	26
2	что он	13	25
3	в этом	20	25
4	потому что	9	21
5	таким образом	3	19
6	в том	18	18
7	не может	9	18
8	точки зрения	7	18
9	того чтобы	2	17
10	что в	12	16
11	и в	30	16
12	того что	5	16
13	так как	5	16
14	не только	12	16
15	так же	4	15
16	том что	12	15
17	для того	2	14
18	в сущности	2	13
19	сказать что	11	13
20	и не	18	12
21	и что	5	12
22	в области	3	12
23	отношение к	4	11
24	в его	11	11
25	но не	3	10
26	было бы	9	10
27	как мы	11	10
28	а не	7	10
29	только в	6	10
30	в отношении	3	9
31	может быть	7	9
32	с точки	3	9
33	должно быть	3	8
34	о том	4	8
35	как это	7	8
36	как и	5	8
37	мы должны	4	8
38	он не	4	8
39	то же	4	8
40	и есть	2	7
41	в нем	4	7
42	но он	3	7
43	того же	5	7
44	так и	5	7
45	по себе	5	7
46	не в	9	6
47	в этой	4	6
48	но и	8	6
49	и на	4	6
50	как он	2	6
51	но в	8	6
52	у него	19	6
53	к тому	2	6
54	в той	2	6
55	никогда не	7	5
56	в своем	8	5
57	на все	2	5
58	для него	9	5
59	как бы	5	5
60	хотя бы	3	5
61	еще более	3	5
62	заключается в	2	5
63	в то	9	5
64	с ним	5	5
65	тогда когда	2	5
66	можно сказать	4	5
67	тот же	5	5
68	как в	3	5
69	мысли и	2	5
70	того как	2	5
71	можно было	2	5
72	это значит	2	5
73	в которой	4	5
74	ничего не	2	5
75	в самых	2	4
76	что если	2	4
77	казалось бы	2	4
78	все эти	5	4
79	это не	2	4
80	с этой	4	4
81	в теории	2	4
82	то время	6	4
83	так что	5	4
84	в свою	3	4
85	при этом	5	4
86	в самом	2	4
87	на этот	4	4
88	в целом	4	4
89	именно в	4	4
90	не имеет	2	4
91	и по	2	4
92	время как	2	4
93	в результате	5	4
94	тем более	3	4
95	не есть	4	4
96	вместе с	8	4
97	той же	4	4
98	и то	5	4
99	не то	3	4
100	не менее	7	3
101	в частности	2	3
102	прежде всего	6	3
103	мы знаем	4	3
104	и как	3	3
105	но это	4	3
106	свою очередь	2	3
107	но что	5	3
108	до конца	7	3
109	к нему	2	3
110	мы видели	2	3
111	его и	2	3
112	в их	2	3
113	еще и	6	3
114	а в	11	3
115	и с	14	3
116	приходит к	2	3
117	к его	2	3
118	в этих	4	3
119	к этой	2	3
120	мы не	2	3
121	с тем	2	3
122	с этим	5	3
123	к этому	6	3
124	все же	9	3
125	по существу	3	3
126	то в	5	3
127	по своему	2	3
128	и может	2	3
129	никак не	3	3
130	еще в	2	3
131	что и	3	3
132	не на	2	3
133	на этом	2	3
134	как я	2	3
135	и его	6	3
136	связи с	8	3
137	в чем	2	3
138	я не	4	2
139	мы будем	3	2
140	больше того	2	2
141	и от	2	2
142	но все	2	2
143	этот период	2	2
144	по поводу	4	2
145	на его	4	2
146	в ней	4	2
147	в виду	2	2
148	в котором	5	2
149	в своей	5	2
150	уже на	3	2
151	в отличие	3	2
152	все это	5	2
153	отношения к	3	2
154	те же	3	2
155	и даже	10	2
156	что для	2	2
157	в своих	2	2
158	что эти	2	2
159	с которыми	4	2
160	их в	2	2
161	в более	2	2
162	о чем	6	2
163	в них	3	2
164	вовсе не	4	2
165	его в	4	2
166	быть в	3	2
167	то это	4	2
168	и к	6	2
169	нам кажется	3	2
170	же в	2	2
171	отличие от	3	2
172	у нас	6	2
173	что я	3	2
174	учение о	3	2
175	это мы	5	2
176	во второй	2	2
177	жизни и	6	2
178	и из	2	2
179	и потому	2	2
180	во всех	3	2
181	его на	3	2
182	во всяком	6	2
183	само по	2	2
184	как будто	2	2
185	из этого	5	2
186	учения о	3	2
