N	2gram	Voloshinov_1	SlovoVZh
1	не может	13	16
2	точки зрения	13	14
3	может быть	13	14
4	и его	15	13
5	как бы	11	13
6	таким образом	21	12
7	и в	15	12
8	в нашем	3	11
9	отношению к	9	11
10	по отношению	11	11
11	и не	16	10
12	если бы	3	9
13	так как	9	9
14	прежде всего	11	8
15	сказать что	6	7
16	в нем	4	6
17	все время	4	6
18	в процессе	4	6
19	при этом	7	6
20	с помощью	9	6
21	в том	4	6
22	только в	6	6
23	слова и	2	6
24	в ней	5	6
25	художественной формы	2	5
26	и др	8	5
27	в жизни	5	5
28	то что	10	5
29	никогда не	7	5
30	а не	2	5
31	можно сказать	4	5
32	то же	7	5
33	хотя бы	7	5
34	как и	6	5
35	том что	5	5
36	отнюдь не	2	5
37	как в	3	5
38	что мы	2	5
39	но в	9	5
40	и к	7	4
41	все же	5	4
42	отношение к	7	4
43	жизни и	5	4
44	так и	10	4
45	от того	3	4
46	на самом	2	4
47	уже не	5	4
48	зависимости от	2	4
49	не в	4	4
50	в этом	13	4
51	и на	3	4
52	его в	8	4
53	дело в	2	4
54	в самом	6	4
55	к нему	7	4
56	за пределы	2	4
57	не только	5	4
58	не менее	3	3
59	в своей	9	3
60	быть и	2	3
61	сих пор	3	3
62	все это	5	3
63	и по	5	3
64	все эти	9	3
65	по себе	2	3
66	это как	3	3
67	но и	4	3
68	и пр	9	3
69	того что	2	3
70	и наконец	10	3
71	тем не	2	3
72	ни в	6	3
73	он должен	2	3
74	самом деле	7	3
75	мы не	4	3
76	ведь и	2	3
77	формы и	2	3
78	и с	7	3
79	нуждается в	2	3
80	в каком	3	3
81	и ее	3	3
82	в себе	4	3
83	для него	5	3
84	до сих	3	3
85	еще не	7	3
86	только на	2	3
87	и для	2	3
88	конечно не	3	3
89	из этого	2	3
90	внутренней речи	3	3
91	с ним	12	3
92	между тем	2	3
93	какой степени	2	2
94	в психике	3	2
95	но мы	2	2
96	с его	8	2
97	что и	2	2
98	в душе	13	2
99	в самое	2	2
100	но все	2	2
101	что в	6	2
102	на все	2	2
103	данном случае	3	2
104	вместе с	4	2
105	себя и	3	2
106	в зависимости	2	2
107	в этих	2	2
108	на него	4	2
109	не остается	3	2
110	все они	2	2
111	между собой	4	2
112	в своем	2	2
113	в отношении	2	2
114	социальной жизни	2	2
115	точку зрения	4	2
116	это не	2	2
117	и все	4	2
118	и другие	2	2
119	этих двух	2	2
120	к этому	7	2
121	связь с	4	2
122	те же	4	2
123	в себя	5	2
124	конечно в	2	2
125	социальной среды	3	2
126	и что	3	2
127	можем сказать	2	2
128	с точки	10	2
129	как на	3	2
130	с другими	5	2
131	но это	2	2
132	более того	2	2
133	в данном	3	2
134	и то	2	2
135	мы можем	12	2
136	но не	5	2
137	нашего сознания	3	2
138	могут быть	6	2
139	выражение в	2	2
140	до конца	5	2
141	она не	2	2
142	в то	6	2
143	ни на	2	2
144	может стать	3	2
145	на один	2	2
146	которые мы	2	2
147	оно не	2	2
148	в чем	4	2
149	ничего не	2	2
150	он не	4	2
151	в условиях	3	2
152	в основном	2	2
153	в его	9	2
154	и потому	8	2
155	из него	2	2
156	между ними	2	2
