N	3gram	Losev_Prob_1	Analitik
1	о том что	5	6
2	в том что	5	6
3	в данном случае	8	5
4	и в этом	2	4
5	в этом случае	2	4
6	той или иной	4	3
7	тем не менее	18	3
8	того или иного	2	3
9	по крайней мере	2	3
10	содержит в себе	7	3
11	подобно тому как	2	3
12	и то что	2	2
13	и в самом	2	2
14	в таком случае	6	2
15	с точки зрения	3	2
16	в то же	4	2
17	можно было бы	2	2
18	на то что	8	2
19	с другой стороны	3	2
20	не только не	3	2
21	а не только	2	2
22	и тем самым	3	2
23	в этом смысле	6	2
24	то есть в	4	2
25	тех или иных	2	2
