N	2gram	Tiupa_Lite_2	Mirosoze
1	и в	19	46
2	в нем	3	22
3	у него	2	22
4	может быть	17	21
5	в этом	9	20
6	никогда не	3	18
7	для него	4	18
8	и не	11	18
9	не только	8	18
10	во имя	2	16
11	но и	10	15
12	не может	9	15
13	человека в	4	14
14	как и	10	13
15	а не	20	13
16	прежде всего	4	12
17	друг друга	2	12
18	потому что	2	12
19	не было	2	11
20	в ней	4	11
21	у нас	5	11
22	и он	3	11
23	но в	2	10
24	он не	5	10
25	в себе	6	10
26	не в	4	9
27	не знает	2	9
28	но это	3	8
29	как бы	2	8
30	так как	3	8
31	в мире	9	7
32	в этой	3	7
33	в нашем	2	7
34	что он	3	7
35	и к	2	7
36	хотя бы	2	7
37	и для	3	7
38	того что	5	6
39	жизни и	4	6
40	не могу	2	6
41	в русской	4	6
42	то же	12	5
43	я не	5	5
44	один из	4	5
45	в конце	2	5
46	по преимуществу	2	5
47	то что	7	5
48	для того	2	5
49	и его	3	5
50	в его	4	5
51	что в	4	4
52	для этого	2	4
53	все что	2	4
54	до конца	2	4
55	нет в	2	4
56	в русском	2	4
57	в жизни	2	4
58	том что	7	4
59	перед ним	2	4
60	что и	2	4
61	себя в	6	4
62	так и	7	4
63	уже не	2	4
64	же как	2	3
65	себя и	2	3
66	в каждом	2	3
67	в такой	2	3
68	в том	10	3
69	и нет	2	3
70	жизни в	4	3
71	не так	2	3
72	в своих	2	3
73	и на	6	3
74	и с	3	3
75	о том	2	3
76	как он	2	3
77	в россии	2	3
78	с ним	2	3
79	в них	2	3
80	что было	2	3
81	не бывает	2	3
82	все равно	2	3
83	той же	2	3
84	тем что	4	3
85	с другим	2	3
86	уже в	2	2
87	быть может	3	2
88	я и	4	2
89	так что	4	2
90	такого рода	9	2
91	жизни а	2	2
92	в сфере	4	2
93	не к	2	2
94	и за	2	2
95	по отношению	4	2
96	как к	3	2
97	и других	4	2
98	а в	3	2
99	в основе	2	2
100	точки зрения	4	2
101	не случайно	4	2
102	есть по	2	2
103	на этом	2	2
104	а за	2	2
105	личности в	3	2
106	то в	2	2
107	и что	2	2
108	тот же	2	2
109	к свету	2	2
110	себе и	3	2
111	в сущности	3	2
112	во всех	3	2
113	еще в	4	2
114	отношению к	3	2
115	вместе с	5	2
116	другого в	3	2
117	но с	3	2
118	к своему	2	2
119	что не	2	2
120	тому как	2	2
121	не надо	2	2
122	подобно тому	2	2
123	ничего не	3	2
