N	2gram	Voloshinov_1	OGranits
1	и в	16	13
2	и его	8	12
3	прежде всего	9	9
4	не может	8	8
5	и не	4	8
6	может быть	17	8
7	и их	4	7
8	и т.п	2	7
9	точки зрения	8	7
10	и пр	12	7
11	в его	4	7
12	таким образом	9	6
13	не только	7	6
14	то что	3	6
15	только в	4	6
16	как бы	5	6
17	с точки	6	5
18	но ведь	2	5
19	хотя бы	4	5
20	и наконец	4	5
21	то же	2	4
22	но мы	4	4
23	в своей	2	4
24	все это	4	4
25	только и	2	4
26	мы не	2	4
27	мы можем	9	4
28	было бы	2	4
29	но в	4	4
30	что в	3	3
31	никогда не	2	3
32	но и	4	3
33	так и	4	3
34	и все	4	3
35	в одном	3	3
36	самом деле	6	3
37	как и	2	3
38	за пределы	2	3
39	в пределах	2	3
40	говорить о	2	3
41	с этим	2	3
42	похожим на	2	3
43	и для	2	3
44	так как	4	3
45	и этот	2	2
46	с историей	2	2
47	не менее	2	2
48	и др	3	2
49	с этой	2	2
50	самого начала	4	2
51	в нем	4	2
52	может иметь	2	2
53	ее в	2	2
54	во всей	2	2
55	сознания и	2	2
56	связанных с	2	2
57	в этот	2	2
58	конечно мы	2	2
59	не на	2	2
60	в них	2	2
61	а в	3	2
62	все эти	5	2
63	те же	3	2
64	на две	3	2
65	с самого	4	2
66	и к	6	2
67	в общем	3	2
68	в чем	5	2
69	в том	3	2
70	так же	2	2
71	том что	3	2
72	мы видим	2	2
73	с ними	4	2
74	с помощью	2	2
75	в этом	9	2
76	учение о	3	2
77	могут быть	3	2
78	при этом	6	2
79	нуждается в	5	2
80	связанные с	2	2
81	и ее	4	2
82	для него	6	2
83	и может	4	2
84	кажется что	2	2
85	мы уже	2	2
86	в области	3	2
87	в самом	2	2
88	представлений и	3	2
89	на язык	3	2
90	между собою	2	2
