N	2gram	Vygotskiy__7	Poddanst
1	не только	24	17
2	и в	26	14
3	и не	18	12
4	в области	4	11
5	в отношении	2	10
6	в этом	29	10
7	то же	8	9
8	в том	18	9
9	в качестве	5	9
10	но в	4	9
11	в то	3	7
12	только в	8	7
13	но и	11	6
14	в ней	3	6
15	в смысле	6	6
16	было бы	6	6
17	с другой	4	5
18	не в	4	5
19	в которых	2	5
20	и о	3	5
21	может быть	7	5
22	в котором	4	4
23	то что	24	4
24	что в	12	4
25	если бы	5	4
26	не может	11	4
27	но также	3	4
28	по себе	3	4
29	и к	7	4
30	а в	2	4
31	том что	17	4
32	мы должны	6	4
33	как бы	6	4
34	и потому	3	4
35	в нем	2	3
36	с тем	5	3
37	столь же	2	3
38	это не	3	3
39	с одной	5	3
40	прежде всего	7	3
41	заключается в	6	3
42	тем самым	8	3
43	для того	18	3
44	с точки	21	3
45	мы не	7	3
46	но не	3	3
47	могут быть	2	3
48	точки зрения	28	3
49	в себе	9	3
50	что мы	9	3
51	одной стороны	5	3
52	наряду с	2	3
53	потому что	16	3
54	не менее	4	2
55	и тем	6	2
56	именно в	6	2
57	и есть	2	2
58	во всех	6	2
59	время в	2	2
60	друг другу	3	2
61	все это	3	2
62	во всей	2	2
63	как раз	3	2
64	отношения к	2	2
65	с этим	2	2
66	может и	2	2
67	и других	2	2
68	стороны и	4	2
69	на этих	2	2
70	а не	6	2
71	того что	14	2
72	слова но	3	2
73	своем значении	2	2
74	должно быть	2	2
75	для нас	2	2
76	в ее	6	2
77	как на	6	2
78	если в	4	2
79	есть не	3	2
80	есть в	3	2
81	в силу	5	2
82	из важнейших	3	2
83	является в	5	2
84	по сравнению	9	2
85	в начале	5	2
86	нужно было	4	2
87	никак не	5	2
88	в его	4	2
89	и с	5	2
