N	2gram	Bakhtin_sl_2	PoTuStor
1	может быть	37	17
2	и в	39	16
3	прежде всего	8	9
4	таким образом	8	9
5	и проч	2	9
6	в этом	16	9
7	и его	33	8
8	и с	9	8
9	точки зрения	8	8
10	не может	20	8
11	с его	7	7
12	сказать что	3	7
13	не только	24	7
14	и к	6	6
15	с точки	3	6
16	для него	7	6
17	при этом	7	6
18	конечно не	5	6
19	отношение к	4	5
20	все эти	6	5
21	в чем	3	5
22	ни в	4	5
23	нуждается в	2	5
24	сознание и	3	5
25	еще не	7	5
26	как бы	7	5
27	в него	7	5
28	в нем	19	4
29	и их	5	4
30	но и	21	4
31	так и	15	4
32	все это	16	4
33	хотя бы	3	4
34	и все	5	4
35	так как	4	4
36	и не	22	4
37	как мы	7	4
38	но мы	2	4
39	и наконец	5	4
40	и даже	7	4
41	с ними	5	4
42	и на	4	4
43	с ее	2	4
44	все что	2	4
45	только в	5	4
46	его в	4	4
47	для всех	4	4
48	но в	6	4
49	в его	7	4
50	в этих	7	3
51	что в	3	3
52	жизни и	6	3
53	во всех	12	3
54	и др	4	3
55	могут быть	7	3
56	вместе с	2	3
57	сих пор	2	3
58	чем не	2	3
59	в большинстве	6	3
60	отношения к	4	3
61	в одном	2	3
62	те же	2	3
63	большинстве случаев	5	3
64	для сознания	2	3
65	в том	5	3
66	а в	4	3
67	том что	5	3
68	и как	3	3
69	с другими	4	3
70	с их	3	3
71	и оно	2	3
72	то что	2	3
73	в основе	4	3
74	на этом	3	3
75	но оно	2	3
76	мира и	5	3
77	как это	3	3
78	в области	2	3
79	во всяком	3	3
80	в основном	4	3
81	и потому	7	3
82	до сих	2	3
83	всяком случае	2	3
84	не менее	4	2
85	поэтому и	4	2
86	может иметь	3	2
87	один из	5	2
88	не могут	5	2
89	что и	3	2
90	на границе	2	2
91	никогда не	7	2
92	для этого	4	2
93	в них	6	2
94	оно не	8	2
95	с этим	2	2
96	то же	4	2
97	что оно	4	2
98	не знает	2	2
99	только и	2	2
100	на них	2	2
101	и других	4	2
102	с помощью	4	2
103	что он	2	2
104	мы не	2	2
105	в одно	2	2
106	и т.п	2	2
107	у него	3	2
108	и для	5	2
109	для нас	5	2
110	как и	6	2
111	они не	2	2
112	но это	3	2
113	мы уже	2	2
114	он не	2	2
115	как с	2	2
116	всех его	3	2
117	говорить о	3	2
118	на протяжении	2	2
119	в пределах	13	2
120	ту же	3	2
121	со всеми	2	2
122	связанные с	4	2
123	о том	2	2
124	но как	2	2
125	за пределы	2	2
126	с ним	7	2
127	себя и	4	2
128	цели и	2	2
