N	2gram	Ircho_Kome_3	Sovremen
1	не может	3	17
2	точки зрения	4	12
3	может быть	6	12
4	таким образом	12	11
5	мы не	2	9
6	в этом	8	7
7	и в	22	7
8	и не	21	6
9	как и	3	6
10	в результате	2	6
11	мы можем	3	6
12	ничего не	3	6
13	прежде всего	5	5
14	с точки	3	5
15	как бы	3	4
16	нет и	4	4
17	в развитии	2	4
18	если мы	2	4
19	в целом	3	4
20	вместе с	9	4
21	это не	2	4
22	а в	7	4
23	не только	5	4
24	с помощью	4	4
25	в том	12	4
26	их в	3	4
27	из них	5	4
28	так как	11	4
29	уже в	2	3
30	самого начала	4	3
31	все же	4	3
32	отнюдь не	4	3
33	между собой	4	3
34	все это	5	3
35	в конце	7	3
36	то же	7	3
37	ясно что	6	3
38	в нем	3	3
39	а не	4	3
40	и к	3	3
41	с самого	4	3
42	не в	4	3
43	в этой	3	3
44	еще не	6	3
45	при этом	7	3
46	было бы	3	3
47	и мы	3	3
48	в одном	2	3
49	и все	2	3
50	как он	3	3
51	в себе	4	3
52	в области	2	3
53	что она	4	3
54	но в	5	3
55	совершенно не	2	2
56	только один	2	2
57	не могут	2	2
58	возможность и	2	2
59	не менее	5	2
60	у него	4	2
61	приводит к	3	2
62	и во	2	2
63	тем же	3	2
64	с одной	3	2
65	как мы	2	2
66	в свою	7	2
67	самом деле	6	2
68	и что	6	2
69	роль в	2	2
70	в и	2	2
71	из которых	2	2
72	на этот	3	2
73	и даже	3	2
74	тем не	3	2
75	мы знаем	2	2
76	то ни	3	2
77	в таком	2	2
78	но все	4	2
79	во всяком	3	2
80	свою очередь	6	2
81	а на	2	2
82	с этим	3	2
83	теперь же	3	2
84	что в	5	2
85	не дает	4	2
86	говорить о	3	2
87	тот же	2	2
88	же самое	3	2
89	если же	2	2
90	на его	2	2
91	по мнению	2	2
92	в самом	9	2
93	в которой	3	2
94	отличие от	2	2
95	в его	8	2
96	всяком случае	3	2
