N	2gram	Losev_Vesc_1	Psycholo
1	и в	21	38
2	то что	27	35
3	в том	8	25
4	в самом	9	25
5	самом деле	4	21
6	что в	9	20
7	может быть	16	19
8	и что	15	18
9	на то	4	16
10	что она	15	16
11	точки зрения	5	16
12	в ней	12	15
13	если бы	5	14
14	том что	8	14
15	как бы	12	14
16	и т	19	14
17	потому что	16	14
18	в этой	3	13
19	совершенно ясно	2	13
20	в этом	4	13
21	мы видим	2	12
22	было бы	14	12
23	не только	36	12
24	таким образом	8	12
25	не в	5	12
26	что это	13	10
27	в сущности	4	10
28	то же	6	10
29	и не	29	10
30	и все	5	10
31	с точки	3	9
32	того чтобы	3	9
33	все же	4	8
34	с тем	5	8
35	перед нами	2	8
36	с этим	3	8
37	в одном	2	8
38	вовсе не	10	8
39	для нас	2	8
40	как и	8	8
41	так что	5	8
42	и как	8	8
43	как раз	9	8
44	но только	3	8
45	для того	2	8
46	и то	10	8
47	и это	14	8
48	с другой	6	7
49	в ее	7	7
50	а не	19	7
51	мы можем	4	7
52	никак не	3	7
53	не может	17	7
54	что у	5	7
55	как мы	4	7
56	а в	4	7
57	мы уже	3	7
58	из них	4	6
59	и здесь	4	6
60	к тому	3	6
61	она не	4	6
62	один из	3	6
63	и если	2	6
64	в котором	3	6
65	тому что	2	6
66	с одной	3	6
67	так как	7	6
68	если мы	8	6
69	как это	2	6
70	и его	2	6
71	о том	6	6
72	ясно что	8	6
73	я не	4	5
74	должна быть	4	5
75	в своем	6	5
76	на этом	2	5
77	одной стороны	3	5
78	совершенно не	5	5
79	в своей	5	5
80	но и	18	5
81	другой стороны	2	5
82	и когда	4	5
83	в той	3	5
84	или в	2	5
85	мы не	6	5
86	в другом	2	5
87	в его	2	5
88	никогда не	2	4
89	что они	6	4
90	в свою	4	4
91	и для	9	4
92	во всех	2	4
93	в самой	2	4
94	но если	8	4
95	она была	2	4
96	в нем	2	4
97	что и	3	4
98	смысл и	9	4
99	т д	19	4
100	все эти	3	4
101	у всех	3	4
102	при помощи	2	4
103	того что	8	4
104	и даже	6	4
105	сказать что	17	4
106	у него	2	4
107	только в	14	4
108	и другое	4	4
109	одна из	5	4
110	в себе	14	4
111	не то	4	4
112	в виду	2	4
113	как только	4	3
114	ее не	2	3
115	действительность и	8	3
116	где она	2	3
117	она должна	2	3
118	оба эти	3	3
119	что все	2	3
120	со всей	2	3
121	она может	4	3
122	но это	10	3
123	того же	5	3
124	одно и	5	3
125	тот же	3	3
126	когда она	4	3
127	мы говорили	2	3
128	и о	3	3
129	в основе	3	3
130	и этот	2	3
131	должен быть	2	3
132	все это	5	3
133	то и	4	3
134	и только	3	3
135	что не	5	3
136	и заставляет	2	3
137	и тем	3	3
138	тем что	2	3
139	в то	3	3
140	бы в	5	3
141	могла бы	3	3
142	на это	4	3
143	его в	2	3
144	но в	5	3
145	в данном	5	2
146	с самой	6	2
147	что образ	2	2
148	была бы	2	2
149	отнюдь не	5	2
150	нет никакого	2	2
151	хотя бы	6	2
152	с этой	4	2
153	и во	3	2
154	имени а	2	2
155	во всяком	3	2
156	что оно	8	2
157	но что	2	2
158	и ее	18	2
159	только что	2	2
160	оно есть	9	2
161	и эти	2	2
162	или не	2	2
163	как же	3	2
164	уже не	9	2
165	у нас	7	2
166	по существу	2	2
167	это есть	7	2
168	в силу	3	2
169	она могла	2	2
170	свою очередь	4	2
171	есть именно	6	2
172	только то	2	2
173	для него	4	2
174	ли это	7	2
175	и может	2	2
176	же точно	2	2
177	в первой	2	2
178	но он	2	2
179	по преимуществу	2	2
180	по самому	3	2
181	к ней	2	2
182	то как	2	2
183	на их	2	2
184	всяком случае	2	2
185	для этого	4	2
186	то это	3	2
187	с ее	6	2
188	не знаем	2	2
189	дело не	2	2
190	данном случае	2	2
191	нам не	2	2
192	со стороны	5	2
193	всех прочих	3	2
194	что же	8	2
195	а с	3	2
196	еще и	8	2
197	быть не	4	2
198	что смысл	3	2
199	не просто	19	2
200	и вот	2	2
201	и больше	9	2
202	сам себя	2	2
203	есть только	7	2
204	той же	2	2
205	в конце	2	2
206	с но	2	2
207	их в	3	2
208	и чем	3	2
209	что только	3	2
210	и следовательно	7	2
211	к себе	4	2
212	как к	4	2
213	по смыслу	5	2
214	когда мы	6	2
215	с ним	8	2
216	ничего не	3	2
217	себя как	2	2
218	это будет	3	2
