N	2gram	Savitsky_E_1	Myshleni
1	точки зрения	23	26
2	таким образом	2	26
3	в том	11	24
4	и в	37	23
5	том что	6	21
6	с точки	17	18
7	того чтобы	6	17
8	то что	6	17
9	в этом	12	17
10	так же	9	16
11	не только	18	16
12	того что	7	15
13	для того	6	15
14	что в	21	14
15	может быть	6	14
16	но и	14	14
17	как и	7	14
18	в его	2	14
19	не может	9	12
20	в развитии	2	12
21	как бы	6	11
22	сказать что	4	11
23	представляет собой	3	11
24	с другой	7	10
25	прежде всего	9	10
26	в отношении	32	10
27	в психологии	3	10
28	в качестве	14	9
29	одной стороны	8	9
30	не является	3	9
31	другой стороны	2	9
32	и не	14	9
33	между тем	8	9
34	и с	2	9
35	вместе с	2	9
36	с одной	8	8
37	заключается в	2	8
38	нас к	2	8
39	и на	6	8
40	в процессе	4	8
41	то же	15	8
42	вопрос о	4	7
43	в этой	2	7
44	в самом	4	7
45	в то	16	7
46	так как	7	7
47	с тем	3	7
48	мы не	4	7
49	независимо от	4	6
50	столь же	5	6
51	с этой	6	6
52	же как	5	6
53	и тем	3	6
54	именно в	4	6
55	потому что	3	6
56	с этим	2	6
57	в силу	2	6
58	о том	3	6
59	по сравнению	2	6
60	мы можем	3	6
61	тем что	3	6
62	в себе	9	6
63	только в	9	6
64	в какой	2	5
65	из того	2	5
66	можно сказать	4	5
67	и как	2	5
68	на то	6	5
69	по себе	4	5
70	в своих	2	5
71	мы должны	2	5
72	и все	2	5
73	бы в	2	5
74	если бы	2	5
75	но в	14	5
76	и более	2	5
77	между собой	2	5
78	сравнению с	2	5
79	по своей	2	5
80	и что	2	5
81	он не	2	5
82	так и	10	5
83	на основании	2	5
84	как мы	5	5
85	тем самым	5	5
86	тем более	4	5
87	но не	5	4
88	что все	2	4
89	в свою	3	4
90	не в	5	4
91	друг с	3	4
92	в котором	2	4
93	отношений между	2	4
94	целый ряд	2	4
95	которую мы	5	4
96	этом отношении	3	4
97	в результате	3	4
98	проблемы и	2	4
99	в одном	2	4
100	и к	3	4
101	было бы	8	4
102	к тому	8	4
103	в своей	8	4
104	как в	3	4
105	во всей	2	4
106	хотя бы	15	4
107	мы видим	2	4
108	как на	3	4
109	с другом	3	4
110	что это	2	3
111	все более	9	3
112	в своем	14	3
113	и от	3	3
114	свою очередь	2	3
115	в общем	3	3
116	и мы	3	3
117	и если	2	3
118	в сфере	3	3
119	в их	11	3
120	и других	2	3
121	в которых	3	3
122	вовсе не	6	3
123	с мы	2	3
124	этот вопрос	2	3
125	тогда когда	2	3
126	всяком случае	3	3
127	такой же	2	3
128	во всех	6	3
129	друг от	2	3
130	она не	2	3
131	от друга	2	3
132	а не	2	3
133	на этот	2	3
134	можно было	3	3
135	и то	2	3
136	во всяком	3	3
137	могут быть	2	3
138	в каком	4	3
139	в области	11	3
140	на всем	4	2
141	в частности	5	2
142	известном смысле	3	2
143	никогда не	3	2
144	представление о	2	2
145	от них	3	2
146	в смысле	9	2
147	и наиболее	2	2
148	всех прочих	2	2
149	же время	14	2
150	несмотря на	4	2
151	вслед за	6	2
152	хотя и	2	2
153	не имеет	4	2
154	мы видели	3	2
155	не к	2	2
156	жизни и	2	2
157	данном случае	2	2
158	и таким	2	2
159	начиная с	2	2
160	и наконец	2	2
161	и даже	6	2
162	бы и	3	2
163	а в	2	2
164	что эти	2	2
165	в этих	2	2
166	как это	4	2
167	от этого	5	2
168	в известном	3	2
169	главным образом	2	2
170	в них	3	2
171	в стороне	3	2
172	идет о	3	2
173	есть не	2	2
174	в ее	8	2
175	приводит нас	2	2
176	из всех	3	2
177	в значительной	2	2
178	связано с	3	2
179	ту или	3	2
180	иначе говоря	2	2
181	более к	2	2
182	и потому	5	2
183	даже в	4	2
184	всего в	2	2
185	оставить в	2	2
186	когда он	3	2
187	все другие	2	2
188	ее в	3	2
189	в известной	3	2
190	в течение	5	2
191	между ними	2	2
192	с другими	2	2
193	в данном	3	2
194	в виде	5	2
195	его на	2	2
196	что если	2	2
197	дело в	3	2
198	там где	3	2
199	заметить что	2	2
200	и поэтому	2	2
201	одном из	2	2
