N	2gram	Tiupa_Lite_2	Hudozhes
1	и в	19	28
2	том что	7	19
3	в ее	2	18
4	и не	11	18
5	своего рода	13	16
6	в том	10	15
7	а не	20	14
8	не в	4	13
9	в этом	9	13
10	о том	2	12
11	как и	10	11
12	при этом	6	11
13	в его	4	11
14	не только	8	11
15	уже не	2	10
16	не случайно	4	10
17	но и	10	9
18	в себе	6	9
19	в жизни	2	8
20	что он	3	8
21	может быть	17	8
22	себя в	6	8
23	так и	7	8
24	я не	5	7
25	жизни в	4	7
26	в мире	9	7
27	в частности	4	7
28	отношению к	3	7
29	по отношению	4	7
30	тогда как	9	7
31	с ним	2	7
32	состоит в	9	7
33	как это	2	7
34	то что	7	6
35	жизни и	4	6
36	то же	12	6
37	не было	2	6
38	а в	3	6
39	в глазах	3	6
40	и с	3	6
41	тем что	4	6
42	для себя	2	6
43	в то	9	6
44	я и	4	6
45	не менее	6	5
46	у него	2	5
47	как бы	2	5
48	с ее	2	5
49	в этой	3	5
50	что в	4	5
51	и сам	2	5
52	никогда не	3	5
53	и его	3	5
54	жизни как	2	5
55	одно из	2	5
56	для него	4	5
57	ничего не	3	5
58	наш взгляд	3	4
59	тем не	2	4
60	то в	2	4
61	но не	5	4
62	в качестве	5	4
63	же время	9	4
64	в художественном	2	4
65	для того	2	4
66	он не	5	4
67	в конечном	5	4
68	что и	2	4
69	и т	2	4
70	как раз	2	4
71	то и	3	4
72	не может	9	4
73	человека в	4	4
74	на наш	3	4
75	подобно тому	2	4
76	тому как	2	4
77	конечном счете	5	3
78	в них	2	3
79	столь же	5	3
80	с другой	8	3
81	о себе	3	3
82	в одном	2	3
83	личности в	3	3
84	прежде всего	4	3
85	что было	2	3
86	в нем	3	3
87	для нас	2	3
88	все что	2	3
89	еще не	2	3
90	одной стороны	6	3
91	было бы	2	3
92	одной из	2	3
93	по преимуществу	2	3
94	в ней	4	3
95	со стороны	3	3
96	не могу	2	3
97	на фоне	5	3
98	и читателя	2	3
99	с одной	7	3
100	едва ли	4	3
101	и он	3	3
102	и на	6	3
103	соответствии с	2	3
104	на себя	2	3
105	как он	2	3
106	всего лишь	3	3
107	мы с	3	3
108	в основе	2	2
109	жизни на	2	2
110	разговоре с	2	2
111	себя и	2	2
112	отнюдь не	4	2
113	однако в	6	2
114	не столько	3	2
115	из ключевых	2	2
116	а за	2	2
117	вовсе не	2	2
118	как уже	2	2
119	не с	3	2
120	что я	2	2
121	же как	2	2
122	одна из	5	2
123	художественного мышления	5	2
124	на этом	2	2
125	но тем	4	2
126	без другого	2	2
127	со своей	2	2
128	что не	2	2
129	и к	2	2
130	нам представляется	2	2
131	я это	2	2
132	не по	2	2
133	а также	2	2
134	если в	2	2
135	не является	2	2
136	один из	4	2
137	в нашем	2	2
138	все же	2	2
139	из них	2	2
140	вместе с	5	2
141	являет собой	2	2
142	данном случае	3	2
143	мысли и	2	2
144	как на	3	2
145	т п	2	2
146	жизнь есть	2	2
147	о которой	2	2
148	тем самым	3	2
149	не более	2	2
150	в принципе	5	2
151	хотя бы	2	2
152	и для	3	2
153	с точки	3	2
154	той же	2	2
155	в данном	3	2
156	и то	3	2
157	из нас	2	2
158	потому что	2	2
159	точки зрения	4	2
160	в роли	2	2
161	в другом	3	2
162	и только	2	2
163	и т.д	7	2
164	но в	2	2
