N	2gram	Tiupa_Disk_2	Psycholo
1	то что	5	32
2	и в	16	31
3	в том	8	30
4	то есть	12	26
5	что в	5	23
6	может быть	16	22
7	при этом	17	19
8	не может	9	17
9	как и	16	16
10	том что	10	16
11	и не	15	16
12	точки зрения	4	15
13	только в	3	14
14	а не	14	13
15	не только	10	13
16	что и	2	13
17	в этом	16	12
18	с таким	2	11
19	могут быть	3	11
20	не в	3	11
21	в области	2	11
22	потому что	4	10
23	ни в	7	9
24	как в	8	9
25	никогда не	2	8
26	всякий раз	2	8
27	вместе с	2	8
28	все это	2	8
29	что он	2	7
30	есть в	2	7
31	и его	3	7
32	тому как	2	7
33	о том	4	7
34	одной стороны	4	6
35	из этих	3	6
36	отнюдь не	6	6
37	а в	2	6
38	в его	3	6
39	и все	3	5
40	не является	4	5
41	все же	6	5
42	с одной	4	5
43	как бы	4	5
44	в целом	2	5
45	другой стороны	2	5
46	и для	2	5
47	то же	6	5
48	с другой	5	5
49	иначе говоря	3	5
50	подобно тому	2	5
51	в то	5	5
52	как будто	3	5
53	в котором	3	4
54	прежде всего	7	4
55	столь же	3	4
56	в себе	19	4
57	отличие от	12	4
58	же как	2	4
59	в этих	3	4
60	со стороны	10	4
61	к этому	4	4
62	в своих	6	4
63	совпадает с	2	4
64	в результате	2	4
65	между тем	2	4
66	мы имеем	2	4
67	как на	3	3
68	состоит в	16	3
69	в частности	12	3
70	в своем	5	3
71	у пушкина	2	3
72	должна быть	2	3
73	стороны и	2	3
74	что на	2	3
75	но это	3	3
76	но не	7	3
77	например в	3	3
78	в этой	4	3
79	он не	3	3
80	жизни и	3	3
81	в своей	6	3
82	так и	9	3
83	в отличие	12	3
84	не было	3	3
85	той же	2	3
86	роль в	4	3
87	и это	2	3
88	на примере	2	3
89	но в	11	3
90	в основе	4	2
91	не менее	7	2
92	такой же	2	2
93	и как	3	2
94	и состоит	2	2
95	в них	3	2
96	одного и	3	2
97	и другого	2	2
98	это в	2	2
99	там же	2	2
100	уже не	3	2
101	представляет собой	11	2
102	в качестве	16	2
103	того же	2	2
104	и может	3	2
105	о чем	2	2
106	далеко не	2	2
107	к жизни	3	2
108	на почве	2	2
109	в нем	7	2
110	отношение к	2	2
111	из них	3	2
112	но и	11	2
113	что же	2	2
114	приводит к	3	2
115	в полном	2	2
116	этом отношении	4	2
117	в себя	2	2
118	идет о	2	2
119	тем самым	6	2
120	с точки	2	2
121	их в	2	2
122	и с	2	2
123	одно из	4	2
124	в лирическом	2	2
125	из виду	3	2
126	и то	4	2
127	его в	3	2
128	одном из	3	2
129	в одном	4	2
