N	2gram	Losev_Prob_1	Otkroven
1	и в	32	19
2	но и	9	13
3	и не	31	13
4	в этом	19	12
5	из подполья	2	11
6	а не	15	11
7	не в	4	11
8	может быть	14	11
9	не только	17	11
10	и все	7	10
11	в нем	13	10
12	никогда не	7	9
13	не было	4	9
14	в самой	3	9
15	потому что	16	9
16	прежде всего	10	9
17	он всегда	3	7
18	но он	3	7
19	нет ничего	10	7
20	он не	3	7
21	в его	6	7
22	все это	7	6
23	как и	3	6
24	то что	42	5
25	а в	4	5
26	о его	2	5
27	в том	9	5
28	для него	2	5
29	в этой	10	5
30	в самом	6	5
31	с его	2	4
32	всегда есть	6	4
33	он сам	2	4
34	только и	3	4
35	того чтобы	9	4
36	что не	3	4
37	и его	3	4
38	все эти	8	4
39	не может	8	4
40	что в	12	4
41	к нему	3	3
42	не могут	2	3
43	в этих	3	3
44	и есть	6	3
45	это не	6	3
46	что он	7	3
47	того что	7	3
48	для того	8	3
49	хотя бы	3	3
50	еще не	9	3
51	могут быть	2	3
52	и ее	8	3
53	в себе	15	3
54	было бы	8	3
55	о том	11	3
56	с ним	3	3
57	как бы	14	3
58	это было	2	3
59	уже в	3	2
60	не есть	29	2
61	ее в	2	2
62	он в	2	2
63	и для	4	2
64	с тем	5	2
65	можно ли	5	2
66	в истории	4	2
67	так и	12	2
68	не очень	2	2
69	в своем	5	2
70	что же	9	2
71	сразу же	2	2
72	что все	3	2
73	ли сказать	2	2
74	по себе	15	2
75	и очень	2	2
76	не имеет	2	2
77	должно быть	2	2
78	человека а	2	2
79	в ее	3	2
80	в которой	2	2
81	в других	5	2
82	что для	2	2
83	том что	12	2
84	так что	6	2
85	и на	8	2
86	и то	6	2
87	что они	3	2
88	сказать что	13	2
89	и с	2	2
90	учение о	3	2
91	совсем не	4	2
92	тем что	7	2
93	одно из	2	2
94	даже и	8	2
95	ведь это	2	2
96	момент в	2	2
97	и все-таки	2	2
98	его в	6	2
99	в своей	8	2
100	и ни	4	2
101	так как	11	2
102	и о	8	2
103	ничего не	10	2
104	хотя и	6	2
105	о любви	2	2
106	но в	14	2
107	и потому	2	2
