N	3gram	Medvedev_F_3	StatiiOP
1	и т д	6	21
2	в том что	3	17
3	для того чтобы	4	10
4	и т п	5	9
5	с точки зрения	14	8
6	в этом отношении	3	7
7	в данном случае	4	6
8	на самом деле	12	6
9	с другой стороны	5	6
10	во всяком случае	6	6
11	в самом деле	4	5
12	не может быть	14	5
13	то же время	7	4
14	в то же	7	4
15	дело в том	2	4
16	так и в	2	4
17	т п в	2	3
18	т е с	2	3
19	по отношению к	3	3
20	то или иное	2	3
21	всяком случае в	2	2
22	вовсе не в	2	2
23	тем не менее	2	2
24	и тем же	2	2
25	дело не в	2	2
26	одним и тем	2	2
27	и в данном	2	2
