N	2gram	Tiupa_Lite_1	slovoVRo
1	и в	8	39
2	может быть	13	37
3	и его	4	33
4	то есть	6	26
5	не только	24	24
6	и не	12	22
7	но и	17	21
8	не может	5	20
9	в нем	2	19
10	в этом	12	16
11	так и	4	15
12	а не	16	14
13	как в	5	13
14	отличие от	5	13
15	в пределах	3	13
16	в отличие	5	12
17	не в	8	9
18	прежде всего	11	8
19	себя в	6	8
20	таким образом	3	8
21	точки зрения	6	8
22	с его	5	7
23	при этом	19	7
24	для него	2	7
25	еще не	4	7
26	в его	7	7
27	как бы	7	7
28	никогда не	4	7
29	и даже	3	7
30	могут быть	2	7
31	все же	4	6
32	как и	6	6
33	в своем	11	6
34	но не	4	6
35	в сущности	2	6
36	жизни и	3	6
37	все эти	2	6
38	в слове	2	6
39	но в	3	6
40	с другой	3	5
41	это не	4	5
42	том что	14	5
43	или иной	2	5
44	одной стороны	2	5
45	только в	8	5
46	в том	16	5
47	например в	3	5
48	один из	3	5
49	мышления и	2	5
50	с одной	2	5
51	уже не	7	5
52	не менее	7	4
53	и др	3	4
54	отношению к	2	4
55	же время	5	4
56	одна из	3	4
57	на почве	2	4
58	по отношению	3	4
59	для этого	4	4
60	в чужом	4	4
61	то же	5	4
62	а в	3	4
63	в основе	3	4
64	xix века	6	4
65	в то	5	4
66	его в	3	4
67	что в	3	3
68	хотя бы	2	3
69	не столько	5	3
70	человека и	2	3
71	должна быть	2	3
72	связи с	6	3
73	на этом	2	3
74	у него	3	3
75	с их	3	3
76	этом отношении	2	3
77	лишь в	4	3
78	а также	5	3
79	с точки	2	3
80	той же	3	3
81	между тем	2	3
82	ту же	2	3
83	как это	8	3
84	во всяком	3	3
85	в данном	5	2
86	уже в	5	2
87	не было	3	2
88	в сфере	3	2
89	на роль	2	2
90	однако в	2	2
91	в себе	7	2
92	что он	5	2
93	если оно	2	2
94	х годов	2	2
95	и нет	2	2
96	и само	2	2
97	за пределы	2	2
98	же и	3	2
99	всяком случае	2	2
100	даже в	2	2
101	должен быть	2	2
102	то что	10	2
103	дело в	3	2
104	все они	2	2
105	в их	3	2
106	в связи	4	2
107	в себя	2	2
108	и т.п	4	2
109	одним из	5	2
110	роль в	2	2
111	также и	3	2
112	нуждается в	3	2
113	далеко не	3	2
114	в другом	2	2
115	о том	2	2
116	как он	2	2
117	здесь как	2	2
118	сознания для	2	2
119	в области	3	2
120	индивидуального сознания	2	2
