N	2gram	Losev_Vesc_1	Komedia
1	и в	21	22
2	и не	29	21
3	т е	55	16
4	том что	8	13
5	в том	8	12
6	таким образом	8	12
7	со стороны	5	11
8	так как	7	11
9	потому что	16	10
10	в самом	9	9
11	если бы	5	8
12	в своем	6	8
13	к ней	2	8
14	в его	2	8
15	что и	3	8
16	в этом	4	8
17	о том	6	8
18	его в	2	8
19	об этом	3	7
20	в свою	4	7
21	то же	6	7
22	только что	2	7
23	а в	4	7
24	в конце	2	7
25	ясно что	8	6
26	свою очередь	4	6
27	того же	5	6
28	еще не	8	6
29	для того	2	6
30	к тому	3	6
31	может быть	16	6
32	как раз	9	6
33	самом деле	4	6
34	и что	15	6
35	того чтобы	3	6
36	так что	5	6
37	и его	2	6
38	в то	3	6
39	не менее	3	5
40	что в	9	5
41	прежде всего	9	5
42	то это	3	5
43	как это	2	5
44	хотя и	4	5
45	не только	36	5
46	в своей	5	5
47	из них	4	5
48	все это	5	5
49	тем что	2	5
50	к себе	4	5
51	с ним	8	5
52	но в	5	5
53	с тем	5	4
54	у него	2	4
55	отнюдь не	5	4
56	с другой	6	4
57	вовсе не	10	4
58	и здесь	4	4
59	все же	4	4
60	не в	5	4
61	в ней	12	4
62	и т	19	4
63	то что	27	4
64	но и	18	4
65	что она	15	4
66	в отношении	4	4
67	а не	19	4
68	и для	9	4
69	тут же	2	4
70	точки зрения	5	4
71	в себе	14	4
72	бы в	5	4
73	так и	3	4
74	хотя бы	6	4
75	и с	8	4
76	ничем не	3	4
77	от нее	2	3
78	никогда не	2	3
79	на ее	3	3
80	то ни	4	3
81	с этой	4	3
82	с этим	3	3
83	себе в	3	3
84	если не	3	3
85	в нем	2	3
86	на то	4	3
87	нисколько не	4	3
88	тем не	3	3
89	и еще	2	3
90	в ее	7	3
91	как и	8	3
92	в этой	3	3
93	одной стороны	3	3
94	было бы	14	3
95	как бы	12	3
96	из себя	3	3
97	один из	3	3
98	даже не	7	3
99	не может	17	3
100	с одной	3	3
101	все равно	2	3
102	из того	2	3
103	что не	5	3
104	с точки	3	3
105	и даже	6	3
106	по имени	6	3
107	их в	3	3
108	мы можем	4	3
109	во всяком	3	3
110	теперь же	2	3
111	но если	8	3
112	говорить о	6	3
113	на это	4	3
114	ничего не	3	3
115	всяком случае	2	3
116	в основе	3	2
117	ни было	4	2
118	не мешает	4	2
119	себя и	4	2
120	больше того	4	2
121	и без	3	2
122	сравнению с	6	2
123	не будет	12	2
124	это не	5	2
125	равно как	2	2
126	и все	5	2
127	в одном	2	2
128	себя от	2	2
129	стороны и	2	2
130	если мы	8	2
131	о которой	2	2
132	без всякого	4	2
133	а затем	2	2
134	по существу	2	2
135	из его	2	2
136	в силу	3	2
137	что они	6	2
138	она не	4	2
139	бы то	4	2
140	в и	2	2
141	тот же	3	2
142	и если	2	2
143	совершенно не	5	2
144	в сущности	4	2
145	и о	3	2
146	от того	3	2
147	в свое	2	2
148	конце концов	2	2
149	между ними	3	2
150	в котором	3	2
151	так или	4	2
152	только один	2	2
153	должен быть	2	2
154	не с	7	2
155	по сравнению	7	2
156	во всех	2	2
157	дело не	2	2
158	как мы	4	2
159	другой стороны	2	2
160	все еще	3	2
161	она была	2	2
162	мы не	6	2
163	ли в	3	2
164	сам себя	2	2
165	с другими	8	2
166	можно было	2	2
167	или иначе	4	2
168	начиная от	2	2
169	в результате	3	2
170	тому что	2	2
171	и во	3	2
172	в руки	2	2
173	и ее	18	2
174	в другом	2	2
175	что мы	14	2
176	е в	7	2
177	и это	14	2
178	в виду	2	2
