N	2gram	Berdyaev_M_2	Dialekti
1	не есть	13	47
2	т е	4	30
3	и не	18	30
4	это –	22	23
5	может быть	21	20
6	и в	46	19
7	не только	18	19
8	по себе	2	18
9	а не	13	16
10	в себе	10	15
11	то что	5	14
12	что она	5	14
13	в том	3	14
14	как бы	8	14
15	так как	8	14
16	потому что	12	14
17	но и	15	12
18	то же	5	12
19	точки зрения	2	12
20	и все	5	12
21	что это	6	10
22	ни в	3	10
23	как и	13	10
24	в нем	22	10
25	так и	4	10
26	том что	4	10
27	это не	5	10
28	сказать что	3	10
29	никогда не	18	9
30	она есть	2	9
31	– не	3	9
32	не может	15	9
33	же и	2	9
34	– в	2	8
35	личности в	2	8
36	прежде всего	12	8
37	она не	8	8
38	не в	9	8
39	это есть	2	8
40	в этом	20	8
41	в своей	5	8
42	есть не	5	7
43	но это	8	7
44	и к	7	7
45	что в	4	7
46	должно быть	2	7
47	как будто	2	7
48	так что	2	7
49	я не	5	6
50	и та	2	6
51	что он	7	6
52	что не	2	6
53	да и	2	6
54	что они	3	6
55	есть и	3	6
56	он –	8	6
57	того что	6	6
58	не могу	6	6
59	– это	2	6
60	жизни и	6	6
61	чтобы не	3	6
62	личности и	2	6
63	тогда когда	2	6
64	сознания и	2	5
65	есть ли	2	5
66	в самом	5	5
67	и потому	7	5
68	что и	4	5
69	и это	5	5
70	все равно	3	5
71	и что	2	5
72	и его	5	5
73	жизнь и	4	5
74	только в	3	5
75	о том	3	5
76	и с	3	5
77	уже в	2	4
78	и есть	8	4
79	в своем	8	4
80	та же	10	4
81	одна и	3	4
82	и если	2	4
83	к нему	2	4
84	он не	10	4
85	хотя бы	7	4
86	связи с	2	4
87	быть и	2	4
88	от того	3	4
89	и вот	5	4
90	а в	2	4
91	но он	11	4
92	по своей	3	4
93	как он	3	4
94	с ним	3	4
95	сам по	2	3
96	же как	3	3
97	е в	2	3
98	иное как	3	3
99	все время	2	3
100	можно ли	3	3
101	в этих	2	3
102	и от	3	3
103	вопрос о	6	3
104	есть выражение	2	3
105	не что	3	3
106	что иное	3	3
107	уже не	4	3
108	это и	3	3
109	в этой	7	3
110	себе и	2	3
111	есть религия	4	3
112	тут не	2	3
113	выйти из	2	3
114	и тогда	3	3
115	в разных	2	3
116	не было	11	3
117	должны быть	4	3
118	от этого	2	3
119	они не	4	3
120	его с	2	3
121	его в	3	3
122	в чем	3	3
123	ничего не	2	3
124	нет ни	2	3
125	много раз	2	3
126	что же	2	2
127	связана с	7	2
128	и можно	3	2
129	что у	4	2
130	всегда есть	2	2
131	в конце	5	2
132	человека и	7	2
133	момент в	3	2
134	к тому	5	2
135	есть уже	4	2
136	идея и	3	2
137	мы видим	2	2
138	которая есть	2	2
139	не будет	3	2
140	есть что-то	4	2
141	и нет	3	2
142	же есть	3	2
143	до сих	3	2
144	на его	2	2
145	в сущности	2	2
146	в ней	11	2
147	в сфере	2	2
148	сам не	2	2
149	сих пор	3	2
150	он переживает	2	2
151	себя в	4	2
152	в мире	7	2
153	на все	3	2
154	во всех	2	2
155	– то	2	2
156	ее в	2	2
157	в каждом	3	2
158	тому что	4	2
159	так же	6	2
160	что есть	2	2
161	того как	3	2
162	как в	7	2
163	только и	4	2
164	это все	2	2
165	жизнь в	6	2
166	и она	3	2
167	человеческой жизни	2	2
168	– все	2	2
169	его не	2	2
170	бы и	5	2
171	в своих	3	2
172	также и	4	2
173	между тем	2	2
174	тем что	3	2
175	что личность	2	2
176	есть судьба	2	2
177	есть в	3	2
178	души и	2	2
179	и человек	3	2
180	в которой	2	2
181	и должно	3	2
182	но в	10	2
183	я и	2	2
184	в жизни	4	2
185	вместе с	2	2
186	на этом	2	2
