N	2gram	Bakhtin_Fr_3	Russkaja
1	не может	3	22
2	и не	13	19
3	в том	8	17
4	в этом	15	17
5	и в	40	14
6	то что	5	13
7	таким образом	10	11
8	то же	7	11
9	точки зрения	2	11
10	же время	6	10
11	но и	11	10
12	в то	6	10
13	том что	4	9
14	не только	13	9
15	в себе	3	9
16	может быть	9	9
17	прежде всего	16	8
18	того чтобы	4	8
19	и если	2	7
20	самом деле	3	7
21	в данном	4	7
22	о том	4	7
23	и с	8	7
24	если бы	3	6
25	на самом	3	6
26	что он	2	6
27	и к	3	6
28	для него	5	6
29	для того	3	6
30	все это	4	6
31	в своем	7	6
32	и для	5	6
33	в своих	5	6
34	хотя бы	2	5
35	и на	8	5
36	или иной	2	5
37	при этом	3	5
38	до сих	4	5
39	было бы	4	5
40	конечно не	2	5
41	в своей	6	5
42	он не	9	5
43	в нем	5	5
44	сих пор	4	5
45	во всех	6	5
46	а в	3	5
47	потому что	2	5
48	только в	3	5
49	между тем	3	5
50	но не	2	4
51	что в	12	4
52	в мире	4	4
53	как и	11	4
54	все что	2	4
55	как бы	3	4
56	все же	2	4
57	жизни и	4	4
58	в корне	2	4
59	вместе с	3	4
60	в их	4	4
61	можно было	3	4
62	в этой	3	4
63	во всем	3	4
64	в его	13	4
65	так как	4	4
66	к этой	3	4
67	именно в	2	3
68	из этих	2	3
69	в конце	3	3
70	с нею	2	3
71	всех этих	3	3
72	и как	3	3
73	в другом	3	3
74	лишь в	2	3
75	еще не	3	3
76	в самом	6	3
77	одной из	2	3
78	той или	2	3
79	и потому	4	3
80	и этот	2	3
81	для этого	3	3
82	что и	3	3
83	из них	4	3
84	данном случае	2	3
85	не было	5	3
86	в значительной	3	3
87	ко всем	3	3
88	что для	2	3
89	тем что	3	3
90	и во	4	3
91	связи с	6	3
92	из этого	2	3
93	одна из	3	3
94	только для	3	2
95	и есть	3	2
96	в частности	3	2
97	у него	8	2
98	не подлежит	3	2
99	и от	3	2
100	с этим	2	2
101	это в	2	2
102	культуры и	7	2
103	ни в	4	2
104	следовательно и	2	2
105	из всех	4	2
106	это есть	2	2
107	но это	3	2
108	есть и	2	2
109	и о	4	2
110	в ней	4	2
111	в котором	2	2
112	не к	2	2
113	на такой	2	2
114	всем этим	2	2
115	по отношению	3	2
116	в течение	2	2
117	все эти	8	2
118	и вот	2	2
119	только на	4	2
120	а не	5	2
121	и наконец	3	2
122	и даже	4	2
123	не так	3	2
124	к нему	2	2
125	в других	3	2
126	том же	2	2
127	их в	3	2
128	больше чем	2	2
129	даже и	2	2
130	мы уже	13	2
131	в начале	3	2
132	во время	8	2
133	в таких	3	2
134	ни от	2	2
135	в этих	6	2
136	в области	4	2
137	но в	8	2
138	культурной жизни	2	2
