N	2gram	Trubetskoy_1	Literetu
1	а не	5	20
2	и в	26	19
3	может быть	10	17
4	то же	4	12
5	и не	8	11
6	в том	11	10
7	но и	9	10
8	состоит в	2	9
9	же время	2	9
10	не может	4	9
11	в мире	5	9
12	в этом	15	9
13	в то	4	9
14	с другой	8	8
15	не только	10	8
16	и даже	3	8
17	том что	7	7
18	то что	7	7
19	так и	6	7
20	с одной	7	7
21	и т.д	6	7
22	не менее	3	6
23	в себе	6	6
24	одной стороны	7	6
25	при этом	3	6
26	и на	2	6
27	для всех	2	5
28	но не	8	5
29	в качестве	3	5
30	он не	4	5
31	вместе с	15	5
32	того что	3	5
33	то есть	4	5
34	в рамках	3	4
35	что в	9	4
36	прежде всего	2	4
37	не в	2	4
38	того же	6	4
39	для него	3	4
40	в его	5	4
41	один из	2	4
42	жизни и	2	4
43	так что	3	4
44	точки зрения	13	4
45	в области	9	4
46	перестает быть	2	3
47	никогда не	5	3
48	что он	4	3
49	в нем	4	3
50	по существу	2	3
51	и как	3	3
52	одним из	2	3
53	в начале	2	3
54	в этой	4	3
55	этот путь	2	3
56	во всех	2	3
57	вплоть до	2	3
58	не с	2	3
59	отношению к	3	3
60	и для	5	3
61	этом отношении	2	3
62	так как	9	3
63	но с	3	3
64	с точки	6	3
65	как на	8	3
66	а в	4	3
67	в глазах	2	3
68	и с	10	3
69	без остатка	2	3
70	том числе	5	2
71	уже в	2	2
72	не было	2	2
73	ни было	2	2
74	к жизни	5	2
75	же как	3	2
76	с тем	18	2
77	для этого	2	2
78	в них	2	2
79	с этой	3	2
80	по крайней	5	2
81	в конце	6	2
82	в виду	2	2
83	в одном	3	2
84	и к	5	2
85	с идеей	2	2
86	а также	2	2
87	крайней мере	5	2
88	тем не	3	2
89	ко всему	2	2
90	все что	2	2
91	и нет	3	2
92	тот же	2	2
93	еще не	2	2
94	одной из	5	2
95	из своих	2	2
96	свидетельствует о	2	2
97	наконец в	2	2
98	как бы	12	2
99	не вполне	3	2
100	если в	3	2
101	духовной культуры	3	2
102	что и	6	2
103	все же	6	2
104	не к	2	2
105	из них	7	2
106	и только	4	2
107	уже не	3	2
108	путь к	3	2
109	и что	4	2
110	для того	5	2
111	из которых	4	2
112	и наконец	2	2
113	хотя бы	3	2
114	то с	3	2
115	в русском	2	2
116	в результате	3	2
117	потому что	7	2
118	одно из	2	2
119	о том	6	2
120	в россии	2	2
121	представляет собой	3	2
122	но в	7	2
