N	2gram	Voloshinov_1	Dialekti
1	не есть	2	54
2	и не	10	27
3	а не	5	26
4	точки зрения	14	25
5	и в	12	24
6	не только	4	23
7	по себе	3	20
8	не может	16	19
9	ничего не	2	17
10	допустим что	2	16
11	и что	2	15
12	то что	5	14
13	с точки	2	14
14	может быть	14	13
15	таким образом	12	13
16	того что	3	12
17	не менее	3	11
18	тем не	3	10
19	отнюдь не	5	10
20	ни в	3	9
21	но и	3	9
22	нет ничего	2	9
23	прежде всего	8	8
24	что мы	5	8
25	том что	5	8
26	в этом	4	8
27	если же	2	8
28	что в	2	7
29	никогда не	5	7
30	но что	2	7
31	в самом	4	7
32	в особенности	2	7
33	в виду	5	7
34	ясно что	3	7
35	как и	5	7
36	только на	3	7
37	должна быть	5	6
38	кроме того	2	6
39	все это	3	6
40	и с	3	6
41	о том	3	6
42	так как	9	6
43	если бы	9	6
44	и все	2	6
45	оно не	2	6
46	что и	2	6
47	то же	5	6
48	самом деле	3	6
49	и пр	3	6
50	с этой	2	5
51	как же	2	5
52	в том	6	5
53	но это	2	5
54	точка зрения	3	5
55	жизни и	4	5
56	и его	13	5
57	как на	2	5
58	или не	3	5
59	в то	2	5
60	как это	2	5
61	в них	3	5
62	тогда когда	2	5
63	и к	4	5
64	одно и	2	5
65	он не	2	5
66	так и	4	5
67	уже не	4	5
68	что не	4	5
69	и притом	2	5
70	мы не	3	5
71	только в	6	5
72	с другой	4	4
73	это не	2	4
74	хотя бы	5	4
75	так же	3	4
76	сказать что	7	4
77	конечно не	3	4
78	от того	4	4
79	в чем	2	4
80	и то	2	4
81	для него	3	4
82	все же	4	3
83	все время	6	3
84	за пределы	4	3
85	в своем	2	3
86	была бы	2	3
87	его как	2	3
88	не в	4	3
89	она не	2	3
90	одной стороны	2	3
91	в нем	6	3
92	с одной	2	3
93	все эти	3	3
94	и на	4	3
95	ни на	2	3
96	он должен	3	3
97	зависимости от	4	3
98	как бы	13	3
99	быть и	3	3
100	к нему	4	3
101	в каком	3	3
102	и ее	3	3
103	зависит от	2	2
104	этой точки	3	2
105	для нас	7	2
106	тому же	2	2
107	еще не	3	2
108	при этом	6	2
109	но для	3	2
110	и следовательно	5	2
111	и является	4	2
112	себя и	2	2
113	и уже	3	2
114	другой стороны	2	2
115	и по	3	2
116	быть только	2	2
117	в ней	6	2
118	и здесь	2	2
119	и потому	2	2
120	слово в	3	2
121	но в	5	2
122	с его	2	2
123	перестает быть	2	2
124	в зависимости	2	2
125	в условиях	2	2
126	но не	2	2
127	как не	2	2
128	и для	3	2
129	в данном	2	2
130	бы то	3	2
131	могут быть	2	2
132	в себе	3	2
133	и вообще	3	2
134	из этого	3	2
135	в его	2	2
