N	3gram	Bakhtin_fo_1	Marksizm
1	с точки зрения	2	13
2	не может быть	3	10
3	то же время	9	8
4	в то же	6	8
5	по отношению к	3	8
6	в связи с	5	7
7	в том что	2	6
8	для того чтобы	5	6
9	с самого начала	2	5
10	может быть и	2	5
11	и того же	5	4
12	той или иной	2	4
13	в точном смысле	2	4
14	как если бы	2	4
15	одного и того	5	4
16	одно и то	3	3
17	с одной стороны	2	3
18	как мы уже	8	3
19	в отличие от	2	3
20	и то же	3	3
21	до сих пор	3	3
22	с нашей точки	3	2
23	в нем нет	2	2
24	нашей точки зрения	3	2
25	к тому же	2	2
26	и прежде всего	2	2
27	одной стороны и	2	2
28	но и в	2	2
