N	2gram	Vinokur_Ku_2	Analitik
1	не только	20	22
2	и в	23	18
3	как и	2	14
4	так и	4	14
5	в этом	18	14
6	но и	7	13
7	и его	3	13
8	в частности	2	12
9	том что	11	12
10	в качестве	8	12
11	и не	16	12
12	при этом	2	11
13	а в	3	10
14	как бы	4	10
15	может быть	15	9
16	со стороны	4	9
17	что в	10	9
18	а не	10	9
19	в том	19	9
20	своего рода	4	8
21	и даже	2	8
22	всего лишь	3	8
23	с другой	8	7
24	но не	6	7
25	в его	5	7
26	как раз	3	7
27	к тому	4	6
28	не в	8	6
29	еще не	5	6
30	в этой	6	6
31	он не	3	6
32	в их	2	6
33	никогда не	2	5
34	в конце	4	5
35	прежде всего	8	5
36	в свою	2	5
37	того же	3	5
38	в самом	12	5
39	что и	3	5
40	другой стороны	7	5
41	в сущности	9	5
42	лишь в	5	5
43	уже не	8	5
44	той же	2	5
45	в результате	4	5
46	между тем	6	5
47	мы имеем	5	5
48	не менее	7	4
49	перед нами	4	4
50	отнюдь не	4	4
51	в своем	2	4
52	по крайней	6	4
53	состоит в	2	4
54	по себе	10	4
55	что он	5	4
56	можно сказать	4	4
57	свою очередь	2	4
58	в пределах	4	4
59	крайней мере	6	4
60	все же	7	4
61	приводит к	5	4
62	ли не	2	4
63	таким образом	5	4
64	тем самым	2	4
65	и на	6	4
66	в данном	4	4
67	уже в	3	3
68	однако и	2	3
69	к этому	4	3
70	не всегда	2	3
71	не должно	2	3
72	что они	2	3
73	было бы	15	3
74	же время	3	3
75	по поводу	2	3
76	дело не	2	3
77	данном случае	2	3
78	как в	3	3
79	все это	5	3
80	так в	3	3
81	то же	6	3
82	не было	4	3
83	этом отношении	3	3
84	еще и	2	3
85	именно в	3	3
86	в году	2	3
87	что не	6	3
88	роль в	2	3
89	ничего не	4	3
90	с этим	3	3
91	точки зрения	14	3
92	что касается	2	3
93	он и	2	3
94	говорить о	4	3
95	в то	4	3
96	здесь не	3	3
97	ответ на	2	3
98	в особенности	4	3
99	как это	5	3
100	бы и	4	2
101	могут быть	4	2
102	все эти	12	2
103	конечном счете	2	2
104	все они	2	2
105	в них	4	2
106	это не	6	2
107	не как	2	2
108	и от	2	2
109	в нем	4	2
110	несмотря на	5	2
111	о которых	3	2
112	тем не	6	2
113	же в	3	2
114	да и	6	2
115	в соответствии	3	2
116	с тем	2	2
117	очевидно что	2	2
118	не более	2	2
119	тех пор	2	2
120	это и	3	2
121	совершенно не	3	2
122	могли бы	2	2
123	по преимуществу	2	2
124	хотя и	4	2
125	в ней	3	2
126	об этом	5	2
127	в конечном	2	2
128	и потому	2	2
129	а также	3	2
130	свое время	2	2
131	всяком случае	5	2
132	гораздо более	3	2
133	один из	5	2
134	то что	9	2
135	вместе с	5	2
136	нам не	2	2
137	что она	3	2
138	в форме	3	2
139	не может	9	2
140	в отличие	2	2
141	отношения к	2	2
142	на примере	2	2
143	с одной	2	2
144	те же	3	2
145	и вот	5	2
146	сводится к	3	2
147	в той	2	2
148	самом деле	9	2
149	с точки	8	2
150	и по	3	2
151	и для	2	2
152	в глазах	2	2
153	сказать что	4	2
154	во всяком	5	2
155	тем что	3	2
156	нуждается в	2	2
157	и здесь	5	2
158	могла бы	2	2
159	что мы	6	2
160	только в	5	2
161	вопроса о	6	2
162	указание на	3	2
163	этого слова	5	2
164	и все	2	2
165	в свое	2	2
166	там где	5	2
167	отличие от	2	2
168	но в	11	2
