N	2gram	Berdyaev_M_2	RusskieA
1	и в	46	36
2	не только	18	22
3	что в	4	19
4	том что	4	19
5	в том	3	17
6	т е	4	17
7	но и	15	16
8	так как	8	15
9	в этом	20	12
10	это не	5	10
11	как и	13	10
12	вместе с	2	10
13	и на	3	10
14	потому что	12	10
15	а в	2	9
16	у русских	2	8
17	у нас	11	8
18	мы увидим	2	8
19	может быть	21	8
20	один из	5	8
21	е в	2	8
22	о том	3	8
23	что они	3	7
24	что и	4	7
25	так и	4	7
26	и других	2	7
27	между тем	2	7
28	и не	18	6
29	в них	3	6
30	уже не	4	6
31	не имеет	4	6
32	то что	5	6
33	как будто	2	5
34	как бы	8	5
35	как в	7	5
36	того как	3	5
37	тому что	4	4
38	с собой	2	4
39	к тому	5	4
40	связи с	2	4
41	еще в	2	4
42	его с	2	4
43	во всех	2	4
44	в россии	3	4
45	не может	15	4
46	и что	2	4
47	того что	6	4
48	но это	8	4
49	тем что	3	4
50	только в	3	4
51	в русском	4	4
52	что это	6	3
53	в этих	2	3
54	в своем	8	3
55	он же	3	3
56	думать что	4	3
57	в свою	4	3
58	и к	7	3
59	на этом	2	3
60	в разных	2	3
61	то же	5	3
62	так же	6	3
63	и те	2	3
64	ничего не	2	3
65	точки зрения	2	3
66	западной европы	3	3
67	не было	11	2
68	они были	3	2
69	в нашем	7	2
70	что у	4	2
71	не означает	2	2
72	к другому	3	2
73	та же	10	2
74	и потому	7	2
75	в каждом	3	2
76	в образе	3	2
77	на все	3	2
78	в нем	22	2
79	стоит в	2	2
80	не что	3	2
81	у него	22	2
82	интерес к	2	2
83	в жизни	4	2
84	он был	9	2
85	нас не	2	2
86	так что	2	2
87	мы видим	2	2
88	они и	4	2
89	быть и	2	2
90	последний день	2	2
91	после того	2	2
92	до конца	4	2
93	она не	8	2
94	означает что	4	2
95	чем у	4	2
96	чем в	2	2
97	в ней	11	2
98	в его	5	2
99	друг к	5	2
100	и с	3	2
101	к другу	5	2
102	но она	2	2
103	что она	5	2
104	для этого	4	2
105	а не	13	2
106	и для	7	2
107	с ним	3	2
108	в своих	3	2
109	не случайно	2	2
110	он так	2	2
111	хотя и	2	2
112	себя и	3	2
113	к ней	2	2
114	и здесь	6	2
115	что иное	3	2
116	но в	10	2
117	как он	3	2
118	в более	2	2
119	иное как	3	2
120	и поэтому	2	2
