N	2gram	Potebnia_M_4	KulturaY
1	и т	7	39
2	потому что	33	25
3	т п	4	24
4	и в	23	23
5	не только	10	20
6	в том	23	19
7	в этом	23	18
8	и не	18	16
9	ни к	2	15
10	было бы	8	15
11	так как	14	15
12	может быть	26	15
13	т д	3	14
14	точки зрения	4	14
15	если бы	13	12
16	у нас	2	12
17	в самом	3	12
18	все эти	3	12
19	том что	12	11
20	того чтобы	4	11
21	в области	2	11
22	но в	8	11
23	что в	17	10
24	по себе	11	10
25	в языке	16	10
26	а не	12	10
27	вовсе не	7	9
28	вопрос о	2	9
29	в сущности	2	9
30	то что	29	9
31	самом деле	3	9
32	для того	6	9
33	хотя бы	4	9
34	можно было	2	9
35	не может	11	9
36	с другой	2	8
37	не в	11	8
38	только потому	4	8
39	уже не	3	8
40	и что	7	8
41	с точки	3	8
42	языка и	3	8
43	что это	7	7
44	не менее	5	7
45	в нашем	2	7
46	в силу	7	7
47	но и	11	7
48	и с	4	7
49	слова в	3	6
50	это не	7	6
51	по крайней	5	6
52	крайней мере	5	6
53	да и	4	6
54	что не	6	6
55	в речи	3	6
56	тем не	4	6
57	то же	14	6
58	этот вопрос	3	6
59	между тем	9	6
60	и на	3	6
61	ту же	3	6
62	что мы	10	6
63	я не	2	5
64	не могут	2	5
65	что все	4	5
66	что он	4	5
67	об этом	2	5
68	тот же	2	5
69	еще не	3	5
70	в его	5	5
71	всяком случае	3	5
72	этого слова	7	5
73	один из	2	5
74	и тем	4	5
75	слова и	5	5
76	вместе с	6	5
77	что же	5	5
78	все это	5	5
79	таким образом	24	5
80	там где	3	5
81	лишь в	3	5
82	и то	5	5
83	не следует	2	5
84	во всяком	5	5
85	само по	5	5
86	и здесь	2	5
87	только в	15	5
88	мы имеем	4	5
89	в них	3	4
90	бы и	5	4
91	на то	7	4
92	если мы	2	4
93	можно сказать	4	4
94	к тому	3	4
95	что на	2	4
96	для нас	14	4
97	что я	11	4
98	должно быть	5	4
99	на себе	3	4
100	от того	4	4
101	хотя и	5	4
102	как бы	5	4
103	в нем	7	4
104	со стороны	3	4
105	так же	4	4
106	это слово	4	4
107	не было	12	4
108	и о	4	4
109	не имеет	5	4
110	в данном	4	4
111	сказать что	8	4
112	могут быть	7	4
113	в каком	4	4
114	говорить о	5	4
115	в то	4	4
116	так и	6	4
117	чем в	2	3
118	уже в	5	3
119	что слово	10	3
120	точно так	2	3
121	же время	3	3
122	но это	3	3
123	в первый	2	3
124	связи с	3	3
125	в ней	2	3
126	он не	2	3
127	что и	7	3
128	в процессе	3	3
129	что она	2	3
130	как в	7	3
131	так в	3	3
132	с этим	7	3
133	то и	4	3
134	именно в	3	3
135	те же	3	3
136	как мы	2	3
137	того что	14	3
138	из которых	2	3
139	что такое	7	3
140	и по	3	3
141	или иначе	2	3
142	а в	5	3
143	и его	2	3
144	слов в	4	3
145	слова не	3	3
146	тем что	10	3
147	языка в	2	3
148	в таких	2	3
149	и это	2	3
150	есть в	5	3
151	в виду	3	3
152	если и	2	3
153	только для	2	2
154	том случае	3	2
155	и более	4	2
156	с тем	7	2
157	и есть	3	2
158	никогда не	3	2
159	состоит в	2	2
160	но даже	2	2
161	что между	3	2
162	что у	3	2
163	так называемых	3	2
164	но так	2	2
165	оно не	2	2
166	не как	2	2
167	и все	4	2
168	быть не	2	2
169	и до	3	2
170	представить себе	2	2
171	не всегда	3	2
172	язык не	5	2
173	его к	2	2
174	большею частью	2	2
175	мы могли	2	2
176	этом случае	5	2
177	в самой	2	2
178	чтобы понять	2	2
179	и потому	10	2
180	только о	2	2
181	что если	6	2
182	очевидно что	7	2
183	но что	2	2
184	в свою	2	2
185	тех пор	6	2
186	после того	2	2
187	она не	2	2
188	при этом	15	2
189	по поводу	4	2
190	но есть	4	2
191	и если	3	2
192	мы в	3	2
193	к слову	3	2
194	конечно не	2	2
195	между прочим	3	2
196	таким же	5	2
197	обратить внимание	2	2
198	и даже	2	2
199	так или	2	2
200	к нему	5	2
201	но уже	3	2
202	превращается в	2	2
203	на том	2	2
204	дело не	2	2
205	этом слове	4	2
206	данном случае	2	2
207	есть вместе	2	2
208	а именно	4	2
209	вообще и	3	2
210	и следовательно	3	2
211	в своем	8	2
212	мы говорим	7	2
213	того как	6	2
214	например что	2	2
215	и для	2	2
216	все равно	3	2
217	на самом	3	2
218	как и	14	2
219	образом в	5	2
220	в той	4	2
221	здесь мы	2	2
222	тем самым	4	2
223	должны быть	3	2
224	и у	2	2
225	на этот	2	2
226	для самого	2	2
227	что значит	2	2
228	той же	3	2
229	в глазах	2	2
230	с ними	3	2
231	в которых	3	2
232	бы язык	2	2
233	даже и	3	2
234	в своих	2	2
235	на который	2	2
236	что наша	2	2
237	и вообще	2	2
238	мы должны	2	2
239	могли бы	4	2
240	иметь в	2	2
241	большинстве случаев	2	2
242	а если	2	2
243	не то	5	2
244	только как	4	2
